group,day_of_week,interval,mean_call_volume,std_call_volume,mean_abandoned_calls,std_abandoned_calls,mean_abandoned_rate,std_abandoned_rate,mean_service_level,std_service_level,mean_cct,std_cct,n_observations
A,Wednesday,10:30,205.0909,14.4878,1.0,2.4152,0.0048,0.0106,0.9159,0.0927,314.7364,19.723,13
A,Wednesday,11:00,222.1818,15.2992,0.5455,1.1888,0.0026,0.005,0.9613,0.0454,320.72,16.6438,13
A,Wednesday,11:30,227.1818,18.0628,0.9091,1.9505,0.004,0.0082,0.9317,0.1042,320.0318,31.4645,13
A,Wednesday,12:00,224.1818,13.3481,1.7273,2.3349,0.0075,0.0104,0.9202,0.1139,330.4945,25.2529,13
A,Wednesday,12:30,225.9091,16.1227,1.0909,1.7171,0.005,0.0075,0.9356,0.0583,320.6055,11.778,13
A,Wednesday,13:00,228.7273,20.1723,1.0909,2.8085,0.0048,0.0119,0.9168,0.1088,319.8927,20.5191,13
A,Wednesday,13:30,225.5455,22.9374,0.1818,4.0064,0.0009,0.0152,0.9684,0.0906,323.2836,17.3512,13
A,Wednesday,14:00,225.6364,21.2998,0.0909,0.6166,0.0004,0.0025,0.9799,0.082,321.3,18.9335,13
A,Wednesday,14:30,226.0909,17.2339,0.1818,0.6439,0.0008,0.0027,0.962,0.0499,326.6064,22.2467,13
A,Wednesday,15:00,233.0,23.2737,1.3636,2.9218,0.0058,0.012,0.8944,0.1354,320.9336,15.5286,13
A,Wednesday,15:30,226.7273,18.1629,1.0909,2.1412,0.0047,0.0084,0.9341,0.0904,326.4964,16.6329,13
A,Wednesday,16:00,221.0,18.7261,0.6364,1.2995,0.0029,0.0063,0.9624,0.0678,332.0891,23.8806,13
A,Wednesday,16:30,213.0909,20.71,0.3636,0.8957,0.0017,0.004,0.9832,0.0306,326.3055,22.2147,13
A,Wednesday,17:00,190.0,14.5115,0.4545,8.841,0.0023,0.0453,0.9824,0.1287,331.1977,17.144,13
A,Wednesday,17:30,171.7273,13.5075,1.5455,5.243,0.0085,0.0285,0.9319,0.168,327.6636,24.2545,13
A,Wednesday,18:00,154.0,13.4195,0.4545,1.5164,0.003,0.0094,0.9327,0.0651,311.3505,17.204,13
A,Wednesday,18:30,131.6364,22.2022,0.3636,0.9844,0.0031,0.0073,0.9572,0.0828,342.6059,31.1111,13
A,Wednesday,19:00,82.4545,9.2464,0.0909,0.3812,0.001,0.0048,0.9738,0.0373,338.1214,27.3976,13
A,Wednesday,19:30,64.0,8.4508,0.3636,0.9844,0.006,0.0169,0.9803,0.051,321.3555,49.6954,13
A,Wednesday,20:00,50.4545,6.2955,0.1818,0.6439,0.0038,0.0123,0.9703,0.0642,307.9805,28.8977,13
A,Wednesday,20:30,43.0,4.899,0.5455,2.2471,0.013,0.0501,0.9366,0.0679,304.3191,44.9627,13
A,Wednesday,21:00,33.8182,7.9809,0.5455,1.3805,0.0174,0.0534,0.9431,0.086,316.4068,65.2763,13
A,Wednesday,21:30,27.2727,7.6829,0.0,0.5774,0.0,0.024,0.9908,0.0193,319.7691,75.0508,13
A,Wednesday,22:00,19.6364,7.0956,0.0,0.0,0.0,0.0,1.0,0.0,320.0436,102.3278,13
A,Wednesday,22:30,13.3636,4.8445,1.0,1.7078,0.0661,0.1043,0.549,0.2192,275.3418,83.0019,13
A,Wednesday,23:00,11.0,4.6904,0.5455,1.0428,0.0468,0.0778,0.7749,0.2406,302.2864,63.2065,13
A,Wednesday,23:30,9.0,2.6458,0.0,0.2887,0.0,0.024,0.8791,0.2025,274.1945,68.923,13
A,Thursday,00:00,5.0,2.5,0.0,0.0,0.0,0.0,0.9886,0.0864,259.2427,126.271,13
A,Thursday,00:30,3.3333,5.6115,0.0,2.2136,0.0,0.1107,1.0,0.0973,298.5322,137.2715,11
A,Thursday,01:00,2.7,4.1983,0.0,2.1106,0.0,0.1319,1.0,0.1005,281.778,370.6299,12
A,Thursday,01:30,1.6667,3.6179,0.0,1.8974,0.0,0.1459,1.0,0.271,337.9367,170.0584,11
A,Thursday,02:00,1.875,2.8217,0.0,2.0,0.0,0.2,0.9375,0.3499,271.6463,269.8215,10
A,Thursday,02:30,1.1667,1.3214,0.0,0.378,0.0,0.0945,1.0,0.252,145.1117,168.5402,8
A,Thursday,03:00,1.375,0.8437,0.0,0.0,0.0,0.0,1.0,0.0,365.0838,250.8418,10
A,Thursday,03:30,2.0,0.7559,0.0,0.0,0.0,0.0,1.0,0.0,325.7217,777.5693,8
A,Thursday,04:00,1.5,0.5345,0.0,0.0,0.0,0.0,1.0,0.0,237.25,155.6278,8
A,Thursday,04:30,1.0,0.4472,0.0,0.4472,0.0,0.4472,1.0,0.0,227.5,236.7114,6
A,Thursday,05:00,1.25,0.825,0.0,0.0,0.0,0.0,1.0,0.1667,174.0838,129.5886,10
A,Thursday,05:30,2.1,1.0322,0.0,0.0,0.0,0.0,1.0,0.0,294.166,139.6831,12
A,Thursday,06:00,2.8182,1.4081,0.1818,1.2332,0.0455,0.2053,1.0,0.0962,249.7273,97.4192,13
A,Thursday,06:30,4.7273,2.0069,1.1818,1.3837,0.2379,0.2059,0.3985,0.3196,305.5182,104.2165,13
A,Thursday,07:00,9.7273,2.885,1.1818,1.4609,0.113,0.1461,0.5759,0.3845,313.3482,109.4322,13
A,Thursday,07:30,14.6364,16.8819,1.0,1.1902,0.05,0.0592,0.713,0.2793,295.9909,73.9952,13
A,Thursday,08:00,46.8182,9.2457,0.5455,1.551,0.0103,0.025,0.8856,0.1476,283.3955,40.3718,13
A,Thursday,08:30,81.1818,15.0075,1.6364,2.5449,0.0193,0.0319,0.8108,0.182,313.0718,25.4571,13
A,Thursday,09:00,117.0,17.3686,0.3636,1.2214,0.0028,0.0084,0.9565,0.0539,312.6864,15.4569,13
A,Thursday,09:30,144.0,23.8013,0.4545,1.3387,0.0027,0.0075,0.9509,0.0766,312.6327,20.7758,13
A,Thursday,10:00,170.0909,19.9902,1.0,1.7078,0.006,0.0088,0.9273,0.0891,303.2382,25.4241,13
A,Thursday,10:30,196.1818,21.9204,0.9091,1.5403,0.0045,0.0068,0.9467,0.0844,314.2427,18.3171,13
A,Thursday,11:00,211.7273,21.1651,0.4545,1.3387,0.0021,0.0054,0.9747,0.0304,314.6491,22.8113,13
A,Thursday,11:30,220.3636,25.8526,1.1818,2.3609,0.0055,0.0101,0.9388,0.0781,315.5973,22.5414,13
A,Thursday,12:00,216.4545,27.3483,0.2727,0.6608,0.0013,0.003,0.9719,0.0547,311.8691,13.7937,13
A,Thursday,12:30,225.3636,24.3824,0.9091,1.645,0.0039,0.0077,0.9524,0.0542,304.6791,12.6925,13
A,Thursday,13:00,217.1818,20.3216,0.3636,2.096,0.0017,0.0096,0.9515,0.0816,314.1536,17.3509,13
A,Thursday,13:30,216.4545,24.3467,1.0909,2.0856,0.0045,0.0088,0.9639,0.0612,324.3318,19.671,13
A,Thursday,14:00,229.8182,21.5919,0.9091,1.5935,0.0039,0.0065,0.9598,0.0578,328.8055,23.2788,13
A,Thursday,14:30,225.7273,31.9937,0.1818,0.4415,0.0008,0.002,0.9721,0.022,324.0545,14.6594,13
A,Thursday,15:00,229.9091,27.7156,1.3636,1.3869,0.0062,0.0067,0.9522,0.0531,330.8945,20.6501,13
A,Thursday,15:30,220.9091,20.5272,2.3636,5.634,0.0106,0.0265,0.9033,0.1425,327.2291,12.2075,13
A,Thursday,16:00,221.0909,30.3335,2.7273,3.8785,0.012,0.0175,0.9079,0.1004,325.4718,14.3409,13
A,Thursday,16:30,219.6364,21.7527,0.1818,2.5728,0.0009,0.0118,0.9852,0.0883,322.6164,18.6527,13
A,Thursday,17:00,193.6364,14.6845,0.9091,1.4517,0.0049,0.0074,0.9891,0.046,321.4582,17.9878,13
A,Thursday,17:30,167.0909,18.5401,0.6364,0.7533,0.0038,0.0052,0.976,0.0217,326.4891,17.5622,13
A,Thursday,18:00,144.4545,17.6044,0.1818,0.6439,0.0011,0.0039,0.9625,0.061,326.4527,30.7669,13
A,Thursday,18:30,129.6364,21.221,0.0909,0.6166,0.0011,0.0056,0.9901,0.0445,309.7827,19.0015,13
A,Thursday,19:00,82.2727,11.1843,0.1818,0.6439,0.002,0.0071,0.9896,0.0102,336.4745,35.9373,13
A,Thursday,19:30,63.6364,12.6152,0.3636,0.668,0.006,0.0107,0.967,0.0697,311.9291,47.3017,13
A,Thursday,20:00,51.8182,7.3566,0.2727,0.6608,0.0056,0.0142,0.9632,0.0334,315.5036,21.6993,13
A,Thursday,20:30,43.0909,9.2217,0.6364,0.7533,0.0142,0.0166,0.9309,0.0648,324.2255,55.8593,13
A,Thursday,21:00,32.5455,8.1252,0.5455,1.3216,0.0159,0.0302,0.9569,0.0605,295.4318,66.5396,13
A,Thursday,21:30,25.4545,8.657,0.2727,1.1436,0.007,0.0302,0.9816,0.0424,321.4918,31.7361,13
A,Thursday,22:00,20.3636,8.52,0.0909,2.0136,0.0034,0.0561,0.9485,0.1436,304.4018,70.3858,13
A,Thursday,22:30,14.2727,5.1402,1.6364,2.7302,0.1058,0.1445,0.5957,0.2332,294.3045,64.2093,13
A,Thursday,23:00,11.0,4.2426,0.6364,1.1739,0.0499,0.0873,0.6474,0.2556,344.4818,125.3503,13
A,Thursday,23:30,9.7273,2.9767,0.3636,0.668,0.0377,0.0633,0.8,0.2193,315.0718,121.3773,13
A,Friday,00:00,5.9,2.5463,0.0,0.0,0.0,0.0,0.9509,0.1085,362.907,152.1482,12
A,Friday,00:30,4.3,1.6917,0.0,0.0,0.0,0.0,1.0,0.0,304.944,200.1124,12
A,Friday,01:00,3.0,2.3238,0.0,0.0,0.0,0.0,1.0,0.0791,301.0067,200.8724,11
A,Friday,01:30,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,340.1463,245.1847,10
A,Friday,02:00,2.0,0.5345,0.0,0.0,0.0,0.0,1.0,0.0,209.4717,102.9669,8
A,Friday,02:30,1.3333,0.83,0.0,0.0,0.0,0.0,1.0,0.0,359.9633,273.2658,11
A,Friday,03:00,1.75,2.1852,0.0,0.4472,0.0,0.0746,1.0,0.0,136.9825,165.3823,6
A,Friday,03:30,1.625,1.5601,0.0,0.0,0.0,0.0,1.0,0.0,150.525,129.5196,10
A,Friday,04:00,1.4444,0.6957,0.0,0.3162,0.0,0.3162,0.9444,0.3343,283.7222,284.7286,11
A,Friday,04:30,1.2857,1.0534,0.0,0.0,0.0,0.0,0.9286,0.2915,259.6071,340.7858,9
A,Friday,05:00,1.4286,1.5211,0.0,0.0,0.0,0.0,1.0,0.0,243.4614,125.6094,9
A,Friday,05:30,2.125,1.6213,0.0,0.3333,0.0,0.3333,1.0,0.1333,216.425,353.876,10
A,Friday,06:00,2.8,1.8849,0.2,0.4553,0.0333,0.1547,0.9467,0.3048,272.667,179.5228,12
A,Friday,06:30,4.1,2.1934,2.0,1.446,0.4581,0.3017,0.09,0.3075,275.175,165.6446,12
A,Friday,07:00,9.3,2.3718,2.1,2.9805,0.2107,0.2564,0.2597,0.2599,299.457,62.1709,12
A,Friday,07:30,15.2,4.2755,2.1,5.1001,0.1361,0.2378,0.3473,0.2778,349.454,125.0797,12
A,Friday,08:00,43.7,13.3181,0.2,1.2091,0.0043,0.0179,0.882,0.0468,278.39,25.3678,12
A,Friday,08:30,78.9,7.2345,0.2,0.9283,0.0025,0.0123,0.921,0.0927,287.264,26.458,12
A,Friday,09:00,114.3,9.4939,0.1,2.3992,0.0008,0.0197,0.9813,0.0721,305.706,22.4143,12
A,Friday,09:30,145.4,21.0046,0.8,1.1709,0.0053,0.0082,0.9384,0.0848,308.839,23.2936,12
A,Friday,10:00,157.5,18.3922,0.6,1.7612,0.0036,0.0106,0.9369,0.0893,316.872,17.4968,12
A,Friday,10:30,204.1,21.3169,0.9,2.1934,0.0044,0.0108,0.9469,0.1401,320.357,19.3065,12
A,Friday,11:00,212.4,34.4707,0.3,0.6796,0.0015,0.0035,0.9722,0.0563,321.123,21.1729,12
A,Friday,11:30,217.0,24.1058,0.4,0.8045,0.0017,0.0038,0.9826,0.0376,324.125,17.5127,12
A,Friday,12:00,226.2,29.6487,1.5,3.2333,0.0063,0.0114,0.9702,0.0609,307.948,13.6962,12
A,Friday,12:30,223.9,25.496,1.4,2.7654,0.0061,0.0115,0.9186,0.0724,322.667,16.3781,12
A,Friday,13:00,220.7,25.9543,2.0,2.7469,0.0092,0.0122,0.9302,0.0904,329.596,16.4074,12
A,Friday,13:30,230.1,22.0308,0.6,1.2255,0.0027,0.0056,0.95,0.0833,327.284,13.1166,12
A,Friday,14:00,225.5,22.5973,0.4,2.1346,0.0017,0.008,0.9515,0.0838,317.717,22.8718,12
A,Friday,14:30,238.4,20.1804,1.2,1.6371,0.005,0.007,0.9488,0.0832,327.746,25.7455,12
A,Friday,15:00,229.3,30.3289,1.7,3.1548,0.0069,0.0148,0.9348,0.08,314.975,17.984,12
A,Friday,15:30,236.7,24.748,2.7,5.3689,0.0112,0.0254,0.871,0.1726,326.68,18.3322,12
A,Friday,16:00,229.1,22.5012,0.6,0.7816,0.0025,0.0033,0.9482,0.0931,331.502,26.7738,12
A,Friday,16:30,213.6,18.901,0.5,0.7977,0.0023,0.0039,0.9823,0.0294,330.85,17.2965,12
A,Friday,17:00,187.5,22.22,1.2,1.7289,0.006,0.0094,0.913,0.0848,330.455,23.6254,12
A,Friday,17:30,162.9,19.6961,0.8,2.6195,0.0051,0.0149,0.9335,0.0654,326.515,17.5171,12
A,Friday,18:00,145.3,20.6861,0.6,1.7612,0.0046,0.0122,0.9645,0.0817,319.336,21.5596,12
A,Friday,18:30,118.5,17.0907,0.8,0.8356,0.0063,0.0063,0.9698,0.0381,349.445,24.8115,12
A,Friday,19:00,80.3,14.3877,0.3,0.4936,0.0034,0.0059,0.9755,0.0619,351.637,31.0493,12
