group,Date,day_of_week,interval,interval_cct
A,2025-08-02,Saturday,19:00,320.83
A,2025-08-02,Saturday,19:30,328.3
A,2025-08-02,Saturday,20:00,296.97
A,2025-08-02,Saturday,20:30,276.25
A,2025-08-02,Saturday,21:00,294.85
A,2025-08-02,Saturday,21:30,296.99
A,2025-08-02,Saturday,22:00,355.38
A,2025-08-02,Saturday,22:30,316.72
A,2025-08-02,Saturday,23:00,316.72
A,2025-08-02,Saturday,23:30,316.72
A,2025-08-03,Sunday,00:00,331.61
A,2025-08-03,Sunday,00:30,331.61
A,2025-08-03,Sunday,01:00,331.61
A,2025-08-03,Sunday,01:30,331.61
A,2025-08-03,Sunday,02:00,331.61
A,2025-08-03,Sunday,02:30,331.61
A,2025-08-03,Sunday,03:00,331.61
A,2025-08-03,Sunday,03:30,331.61
A,2025-08-03,Sunday,04:00,331.61
A,2025-08-03,Sunday,04:30,331.61
A,2025-08-03,Sunday,05:00,331.61
A,2025-08-03,Sunday,05:30,331.61
A,2025-08-03,Sunday,06:00,331.61
A,2025-08-03,Sunday,06:30,331.61
A,2025-08-03,Sunday,07:00,331.61
A,2025-08-03,Sunday,07:30,331.61
A,2025-08-03,Sunday,08:00,331.61
A,2025-08-03,Sunday,08:30,274.94
A,2025-08-03,Sunday,09:00,238.34
A,2025-08-03,Sunday,09:30,302.82
A,2025-08-03,Sunday,10:00,291.44
A,2025-08-03,Sunday,10:30,282.11
A,2025-08-03,Sunday,11:00,280.69
A,2025-08-03,Sunday,11:30,299.15
A,2025-08-03,Sunday,12:00,283.93
A,2025-08-03,Sunday,12:30,290.17
A,2025-08-03,Sunday,13:00,296.6
A,2025-08-03,Sunday,13:30,286.26
A,2025-08-03,Sunday,14:00,299.64
A,2025-08-03,Sunday,14:30,304.44
A,2025-08-03,Sunday,15:00,303.05
A,2025-08-03,Sunday,15:30,296.97
A,2025-08-03,Sunday,16:00,303.28
A,2025-08-03,Sunday,16:30,286.09
A,2025-08-03,Sunday,17:00,298.97
A,2025-08-03,Sunday,17:30,279.92
A,2025-08-03,Sunday,18:00,297.42
A,2025-08-03,Sunday,18:30,290.53
A,2025-08-03,Sunday,19:00,287.55
A,2025-08-03,Sunday,19:30,276.54
A,2025-08-03,Sunday,20:00,299.36
A,2025-08-03,Sunday,20:30,293.25
A,2025-08-03,Sunday,21:00,277.79
A,2025-08-03,Sunday,21:30,334.4
A,2025-08-03,Sunday,22:00,294.69
A,2025-08-03,Sunday,22:30,331.61
A,2025-08-03,Sunday,23:00,331.61
A,2025-08-03,Sunday,23:30,331.61
A,2025-08-04,Monday,00:00,307.45
A,2025-08-04,Monday,00:30,307.45
A,2025-08-04,Monday,01:00,307.45
A,2025-08-04,Monday,01:30,307.45
A,2025-08-04,Monday,02:00,307.45
A,2025-08-04,Monday,02:30,307.45
A,2025-08-04,Monday,03:00,307.45
A,2025-08-04,Monday,03:30,307.45
A,2025-08-04,Monday,04:00,0.0
A,2025-08-04,Monday,04:30,307.45
A,2025-08-04,Monday,05:00,307.45
A,2025-08-04,Monday,05:30,307.45
A,2025-08-04,Monday,06:00,307.45
A,2025-08-04,Monday,06:30,307.45
A,2025-08-04,Monday,07:00,307.45
A,2025-08-04,Monday,07:30,300.86
A,2025-08-04,Monday,08:00,280.31
A,2025-08-04,Monday,08:30,307.48
A,2025-08-04,Monday,09:00,305.76
A,2025-08-04,Monday,09:30,321.07
A,2025-08-04,Monday,10:00,318.29
A,2025-08-04,Monday,10:30,307.57
A,2025-08-04,Monday,11:00,323.9
A,2025-08-04,Monday,11:30,329.58
A,2025-08-04,Monday,12:00,315.95
A,2025-08-04,Monday,12:30,319.05
A,2025-08-04,Monday,13:00,311.93
A,2025-08-04,Monday,13:30,316.27
A,2025-08-04,Monday,14:00,318.22
A,2025-08-04,Monday,14:30,327.3
A,2025-08-04,Monday,15:00,317.34
A,2025-08-04,Monday,15:30,328.22
A,2025-08-04,Monday,16:00,331.69
A,2025-08-04,Monday,16:30,324.21
A,2025-08-04,Monday,17:00,333.75
A,2025-08-04,Monday,17:30,320.25
A,2025-08-04,Monday,18:00,310.09
A,2025-08-04,Monday,18:30,332.52
A,2025-08-04,Monday,19:00,322.56
A,2025-08-04,Monday,19:30,342.09
A,2025-08-04,Monday,20:00,322.69
A,2025-08-04,Monday,20:30,339.13
A,2025-08-04,Monday,21:00,332.24
A,2025-08-04,Monday,21:30,301.31
A,2025-08-04,Monday,22:00,306.35
A,2025-08-04,Monday,22:30,296.62
A,2025-08-04,Monday,23:00,307.45
A,2025-08-04,Monday,23:30,307.45
A,2025-08-05,Tuesday,00:00,289.73
A,2025-08-05,Tuesday,00:30,289.73
A,2025-08-05,Tuesday,01:00,289.73
A,2025-08-05,Tuesday,01:30,289.73
A,2025-08-05,Tuesday,02:00,289.73
A,2025-08-05,Tuesday,02:30,289.73
A,2025-08-05,Tuesday,03:00,289.73
A,2025-08-05,Tuesday,03:30,289.73
A,2025-08-05,Tuesday,04:00,289.73
A,2025-08-05,Tuesday,04:30,289.73
A,2025-08-05,Tuesday,05:00,289.73
A,2025-08-05,Tuesday,05:30,289.73
A,2025-08-05,Tuesday,06:00,289.73
A,2025-08-05,Tuesday,06:30,289.73
A,2025-08-05,Tuesday,07:00,289.73
A,2025-08-05,Tuesday,07:30,320.3
A,2025-08-05,Tuesday,08:00,270.82
A,2025-08-05,Tuesday,08:30,296.36
A,2025-08-05,Tuesday,09:00,315.36
A,2025-08-05,Tuesday,09:30,320.35
A,2025-08-05,Tuesday,10:00,314.53
A,2025-08-05,Tuesday,10:30,313.84
A,2025-08-05,Tuesday,11:00,316.66
A,2025-08-05,Tuesday,11:30,319.92
A,2025-08-05,Tuesday,12:00,321.11
A,2025-08-05,Tuesday,12:30,312.51
A,2025-08-05,Tuesday,13:00,317.6
A,2025-08-05,Tuesday,13:30,325.28
A,2025-08-05,Tuesday,14:00,318.44
A,2025-08-05,Tuesday,14:30,318.81
A,2025-08-05,Tuesday,15:00,319.79
A,2025-08-05,Tuesday,15:30,319.31
A,2025-08-05,Tuesday,16:00,326.86
A,2025-08-05,Tuesday,16:30,327.88
A,2025-08-05,Tuesday,17:00,319.53
A,2025-08-05,Tuesday,17:30,318.64
A,2025-08-05,Tuesday,18:00,328.25
A,2025-08-05,Tuesday,18:30,318.7
A,2025-08-05,Tuesday,19:00,334.52
A,2025-08-05,Tuesday,19:30,313.42
A,2025-08-05,Tuesday,20:00,337.81
A,2025-08-05,Tuesday,20:30,315.51
A,2025-08-05,Tuesday,21:00,321.1
A,2025-08-05,Tuesday,21:30,306.05
A,2025-08-05,Tuesday,22:00,290.01
A,2025-08-05,Tuesday,22:30,279.49
A,2025-08-05,Tuesday,23:00,289.73
A,2025-08-05,Tuesday,23:30,289.73
A,2025-08-06,Wednesday,00:00,328.12
A,2025-08-06,Wednesday,00:30,328.12
A,2025-08-06,Wednesday,01:00,328.12
A,2025-08-06,Wednesday,01:30,328.12
A,2025-08-06,Wednesday,02:00,328.12
A,2025-08-06,Wednesday,02:30,328.12
A,2025-08-06,Wednesday,03:00,328.12
A,2025-08-06,Wednesday,03:30,328.12
A,2025-08-06,Wednesday,04:00,328.12
A,2025-08-06,Wednesday,04:30,328.12
A,2025-08-06,Wednesday,05:00,328.12
A,2025-08-06,Wednesday,05:30,328.12
A,2025-08-06,Wednesday,06:00,328.12
A,2025-08-06,Wednesday,06:30,328.12
A,2025-08-06,Wednesday,07:00,328.12
A,2025-08-06,Wednesday,07:30,313.39
A,2025-08-06,Wednesday,08:00,274.91
A,2025-08-06,Wednesday,08:30,323.76
A,2025-08-06,Wednesday,09:00,309.06
A,2025-08-06,Wednesday,09:30,324.73
A,2025-08-06,Wednesday,10:00,310.52
A,2025-08-06,Wednesday,10:30,316.07
A,2025-08-06,Wednesday,11:00,321.46
A,2025-08-06,Wednesday,11:30,320.84
A,2025-08-06,Wednesday,12:00,330.26
A,2025-08-06,Wednesday,12:30,321.36
A,2025-08-06,Wednesday,13:00,320.72
A,2025-08-06,Wednesday,13:30,323.77
A,2025-08-06,Wednesday,14:00,321.98
A,2025-08-06,Wednesday,14:30,326.76
A,2025-08-06,Wednesday,15:00,321.65
A,2025-08-06,Wednesday,15:30,326.66
A,2025-08-06,Wednesday,16:00,331.69
A,2025-08-06,Wednesday,16:30,326.49
A,2025-08-06,Wednesday,17:00,330.89
A,2025-08-06,Wednesday,17:30,327.71
A,2025-08-06,Wednesday,18:00,313.03
A,2025-08-06,Wednesday,18:30,341.16
A,2025-08-06,Wednesday,19:00,337.12
A,2025-08-06,Wednesday,19:30,322.03
A,2025-08-06,Wednesday,20:00,309.99
A,2025-08-06,Wednesday,20:30,306.7
A,2025-08-06,Wednesday,21:00,317.58
A,2025-08-06,Wednesday,21:30,320.6
A,2025-08-06,Wednesday,22:00,320.85
A,2025-08-06,Wednesday,22:30,328.12
A,2025-08-06,Wednesday,23:00,328.12
A,2025-08-06,Wednesday,23:30,328.12
A,2025-08-07,Thursday,00:00,337.62
A,2025-08-07,Thursday,00:30,337.62
A,2025-08-07,Thursday,01:00,337.62
A,2025-08-07,Thursday,01:30,337.62
A,2025-08-07,Thursday,02:00,337.62
A,2025-08-07,Thursday,02:30,337.62
A,2025-08-07,Thursday,03:00,337.62
A,2025-08-07,Thursday,03:30,337.62
A,2025-08-07,Thursday,04:00,337.62
A,2025-08-07,Thursday,04:30,337.62
A,2025-08-07,Thursday,05:00,337.62
A,2025-08-07,Thursday,05:30,337.62
A,2025-08-07,Thursday,06:00,337.62
A,2025-08-07,Thursday,06:30,337.62
A,2025-08-07,Thursday,07:00,337.62
A,2025-08-07,Thursday,07:30,299.34
A,2025-08-07,Thursday,08:00,287.95
A,2025-08-07,Thursday,08:30,315.79
A,2025-08-07,Thursday,09:00,313.2
A,2025-08-07,Thursday,09:30,315.51
A,2025-08-07,Thursday,10:00,307.33
A,2025-08-07,Thursday,10:30,316.72
A,2025-08-07,Thursday,11:00,316.39
A,2025-08-07,Thursday,11:30,320.9
A,2025-08-07,Thursday,12:00,314.01
A,2025-08-07,Thursday,12:30,308.74
A,2025-08-07,Thursday,13:00,318.83
A,2025-08-07,Thursday,13:30,326.39
A,2025-08-07,Thursday,14:00,330.39
A,2025-08-07,Thursday,14:30,324.01
A,2025-08-07,Thursday,15:00,332.0
A,2025-08-07,Thursday,15:30,327.35
A,2025-08-07,Thursday,16:00,326.3
A,2025-08-07,Thursday,16:30,326.14
A,2025-08-07,Thursday,17:00,325.84
A,2025-08-07,Thursday,17:30,325.28
A,2025-08-07,Thursday,18:00,327.52
A,2025-08-07,Thursday,18:30,311.96
A,2025-08-07,Thursday,19:00,332.68
A,2025-08-07,Thursday,19:30,318.87
A,2025-08-07,Thursday,20:00,314.82
A,2025-08-07,Thursday,20:30,330.55
A,2025-08-07,Thursday,21:00,302.25
A,2025-08-07,Thursday,21:30,322.06
A,2025-08-07,Thursday,22:00,305.31
A,2025-08-07,Thursday,22:30,301.65
A,2025-08-07,Thursday,23:00,337.62
A,2025-08-07,Thursday,23:30,337.62
A,2025-08-08,Friday,00:00,326.62
A,2025-08-08,Friday,00:30,326.62
A,2025-08-08,Friday,01:00,326.62
A,2025-08-08,Friday,01:30,326.62
A,2025-08-08,Friday,02:00,326.62
A,2025-08-08,Friday,02:30,326.62
A,2025-08-08,Friday,03:00,326.62
A,2025-08-08,Friday,03:30,326.62
A,2025-08-08,Friday,04:00,326.62
A,2025-08-08,Friday,04:30,326.62
A,2025-08-08,Friday,05:00,326.62
A,2025-08-08,Friday,05:30,326.62
A,2025-08-08,Friday,06:00,326.62
A,2025-08-08,Friday,06:30,326.62
A,2025-08-08,Friday,07:00,326.62
A,2025-08-08,Friday,07:30,355.95
A,2025-08-08,Friday,08:00,283.97
A,2025-08-08,Friday,08:30,288.98
A,2025-08-08,Friday,09:00,310.9
A,2025-08-08,Friday,09:30,311.62
A,2025-08-08,Friday,10:00,319.4
A,2025-08-08,Friday,10:30,321.18
A,2025-08-08,Friday,11:00,320.19
A,2025-08-08,Friday,11:30,324.3
A,2025-08-08,Friday,12:00,309.84
A,2025-08-08,Friday,12:30,324.23
A,2025-08-08,Friday,13:00,330.95
A,2025-08-08,Friday,13:30,325.52
A,2025-08-08,Friday,14:00,316.88
A,2025-08-08,Friday,14:30,329.32
A,2025-08-08,Friday,15:00,314.91
A,2025-08-08,Friday,15:30,324.64
A,2025-08-08,Friday,16:00,333.49
A,2025-08-08,Friday,16:30,329.99
A,2025-08-08,Friday,17:00,329.78
A,2025-08-08,Friday,17:30,327.74
A,2025-08-08,Friday,18:00,322.61
A,2025-08-08,Friday,18:30,345.34
A,2025-08-08,Friday,19:00,347.78
A,2025-08-08,Friday,19:30,327.43
A,2025-08-08,Friday,20:00,333.34
A,2025-08-08,Friday,20:30,305.77
A,2025-08-08,Friday,21:00,331.44
A,2025-08-08,Friday,21:30,321.25
A,2025-08-08,Friday,22:00,321.39
A,2025-08-08,Friday,22:30,326.62
A,2025-08-08,Friday,23:00,326.62
A,2025-08-08,Friday,23:30,326.62
A,2025-08-09,Saturday,00:00,330.37
A,2025-08-09,Saturday,00:30,330.37
A,2025-08-09,Saturday,01:00,330.37
A,2025-08-09,Saturday,01:30,330.37
A,2025-08-09,Saturday,02:00,330.37
A,2025-08-09,Saturday,02:30,330.37
A,2025-08-09,Saturday,03:00,330.37
A,2025-08-09,Saturday,03:30,330.37
A,2025-08-09,Saturday,04:00,330.37
A,2025-08-09,Saturday,04:30,330.37
A,2025-08-09,Saturday,05:00,330.37
A,2025-08-09,Saturday,05:30,330.37
A,2025-08-09,Saturday,06:00,330.37
A,2025-08-09,Saturday,06:30,330.37
A,2025-08-09,Saturday,07:00,330.37
A,2025-08-09,Saturday,07:30,330.37
A,2025-08-09,Saturday,08:00,256.77
A,2025-08-09,Saturday,08:30,284.23
A,2025-08-09,Saturday,09:00,282.55
A,2025-08-09,Saturday,09:30,278.23
A,2025-08-09,Saturday,10:00,295.47
A,2025-08-09,Saturday,10:30,294.04
A,2025-08-09,Saturday,11:00,302.3
A,2025-08-09,Saturday,11:30,297.77
A,2025-08-09,Saturday,12:00,302.57
A,2025-08-09,Saturday,12:30,304.21
A,2025-08-09,Saturday,13:00,307.36
A,2025-08-09,Saturday,13:30,309.11
A,2025-08-09,Saturday,14:00,314.35
A,2025-08-09,Saturday,14:30,310.01
A,2025-08-09,Saturday,15:00,307.89
A,2025-08-09,Saturday,15:30,312.86
A,2025-08-09,Saturday,16:00,326.52
A,2025-08-09,Saturday,16:30,297.55
A,2025-08-09,Saturday,17:00,310.21
A,2025-08-09,Saturday,17:30,317.37
A,2025-08-09,Saturday,18:00,322.97
A,2025-08-09,Saturday,18:30,331.37
A,2025-08-09,Saturday,19:00,322.2
A,2025-08-09,Saturday,19:30,329.67
A,2025-08-09,Saturday,20:00,298.34
A,2025-08-09,Saturday,20:30,277.61
A,2025-08-09,Saturday,21:00,296.21
A,2025-08-09,Saturday,21:30,298.36
A,2025-08-09,Saturday,22:00,330.37
A,2025-08-09,Saturday,22:30,330.37
A,2025-08-09,Saturday,23:00,330.37
A,2025-08-09,Saturday,23:30,330.37
A,2025-08-10,Sunday,00:00,334.28
A,2025-08-10,Sunday,00:30,334.28
A,2025-08-10,Sunday,01:00,334.28
A,2025-08-10,Sunday,01:30,334.28
A,2025-08-10,Sunday,02:00,334.28
A,2025-08-10,Sunday,02:30,334.28
A,2025-08-10,Sunday,03:00,334.28
A,2025-08-10,Sunday,03:30,334.28
A,2025-08-10,Sunday,04:00,334.28
A,2025-08-10,Sunday,04:30,0.0
A,2025-08-10,Sunday,05:00,334.28
A,2025-08-10,Sunday,05:30,334.28
A,2025-08-10,Sunday,06:00,334.28
A,2025-08-10,Sunday,06:30,334.28
A,2025-08-10,Sunday,07:00,334.28
A,2025-08-10,Sunday,07:30,334.28
A,2025-08-10,Sunday,08:00,334.28
A,2025-08-10,Sunday,08:30,334.28
A,2025-08-10,Sunday,09:00,238.61
A,2025-08-10,Sunday,09:30,303.08
A,2025-08-10,Sunday,10:00,291.71
A,2025-08-10,Sunday,10:30,282.38
A,2025-08-10,Sunday,11:00,280.95
A,2025-08-10,Sunday,11:30,299.42
A,2025-08-10,Sunday,12:00,284.2
A,2025-08-10,Sunday,12:30,290.43
A,2025-08-10,Sunday,13:00,296.87
A,2025-08-10,Sunday,13:30,286.53
A,2025-08-10,Sunday,14:00,299.91
A,2025-08-10,Sunday,14:30,304.7
A,2025-08-10,Sunday,15:00,303.32
A,2025-08-10,Sunday,15:30,297.24
A,2025-08-10,Sunday,16:00,303.54
A,2025-08-10,Sunday,16:30,286.36
A,2025-08-10,Sunday,17:00,299.24
A,2025-08-10,Sunday,17:30,280.19
A,2025-08-10,Sunday,18:00,297.69
A,2025-08-10,Sunday,18:30,290.8
A,2025-08-10,Sunday,19:00,287.82
A,2025-08-10,Sunday,19:30,276.81
A,2025-08-10,Sunday,20:00,299.63
A,2025-08-10,Sunday,20:30,293.52
A,2025-08-10,Sunday,21:00,278.06
A,2025-08-10,Sunday,21:30,334.67
A,2025-08-10,Sunday,22:00,334.28
A,2025-08-10,Sunday,22:30,334.28
A,2025-08-10,Sunday,23:00,334.28
A,2025-08-10,Sunday,23:30,334.28
A,2025-08-11,Monday,00:00,321.88
A,2025-08-11,Monday,00:30,321.88
A,2025-08-11,Monday,01:00,321.88
A,2025-08-11,Monday,01:30,321.88
A,2025-08-11,Monday,02:00,321.88
A,2025-08-11,Monday,02:30,321.88
A,2025-08-11,Monday,03:00,321.88
A,2025-08-11,Monday,03:30,321.88
A,2025-08-11,Monday,04:00,0.0
A,2025-08-11,Monday,04:30,321.88
A,2025-08-11,Monday,05:00,321.88
A,2025-08-11,Monday,05:30,321.88
A,2025-08-11,Monday,06:00,321.88
A,2025-08-11,Monday,06:30,321.88
A,2025-08-11,Monday,07:00,321.88
A,2025-08-11,Monday,07:30,302.31
A,2025-08-11,Monday,08:00,281.75
A,2025-08-11,Monday,08:30,308.93
A,2025-08-11,Monday,09:00,307.2
A,2025-08-11,Monday,09:30,322.52
A,2025-08-11,Monday,10:00,319.73
A,2025-08-11,Monday,10:30,309.01
A,2025-08-11,Monday,11:00,325.34
A,2025-08-11,Monday,11:30,331.02
A,2025-08-11,Monday,12:00,317.39
A,2025-08-11,Monday,12:30,320.49
A,2025-08-11,Monday,13:00,313.38
A,2025-08-11,Monday,13:30,317.71
A,2025-08-11,Monday,14:00,319.67
A,2025-08-11,Monday,14:30,328.75
A,2025-08-11,Monday,15:00,318.79
A,2025-08-11,Monday,15:30,329.67
A,2025-08-11,Monday,16:00,333.14
A,2025-08-11,Monday,16:30,325.66
A,2025-08-11,Monday,17:00,335.19
A,2025-08-11,Monday,17:30,321.69
A,2025-08-11,Monday,18:00,311.53
A,2025-08-11,Monday,18:30,333.96
A,2025-08-11,Monday,19:00,324.0
A,2025-08-11,Monday,19:30,343.53
A,2025-08-11,Monday,20:00,324.13
A,2025-08-11,Monday,20:30,340.57
A,2025-08-11,Monday,21:00,333.68
A,2025-08-11,Monday,21:30,302.76
A,2025-08-11,Monday,22:00,307.79
A,2025-08-11,Monday,22:30,298.06
A,2025-08-11,Monday,23:00,321.88
A,2025-08-11,Monday,23:30,321.88
A,2025-08-12,Tuesday,00:00,303.61
A,2025-08-12,Tuesday,00:30,303.61
A,2025-08-12,Tuesday,01:00,303.61
A,2025-08-12,Tuesday,01:30,303.61
A,2025-08-12,Tuesday,02:00,303.61
A,2025-08-12,Tuesday,02:30,303.61
A,2025-08-12,Tuesday,03:00,303.61
A,2025-08-12,Tuesday,03:30,303.61
A,2025-08-12,Tuesday,04:00,303.61
A,2025-08-12,Tuesday,04:30,303.61
A,2025-08-12,Tuesday,05:00,303.61
A,2025-08-12,Tuesday,05:30,303.61
A,2025-08-12,Tuesday,06:00,303.61
A,2025-08-12,Tuesday,06:30,303.61
A,2025-08-12,Tuesday,07:00,303.61
A,2025-08-12,Tuesday,07:30,321.68
A,2025-08-12,Tuesday,08:00,272.21
A,2025-08-12,Tuesday,08:30,297.75
A,2025-08-12,Tuesday,09:00,316.75
A,2025-08-12,Tuesday,09:30,321.74
A,2025-08-12,Tuesday,10:00,315.92
A,2025-08-12,Tuesday,10:30,315.23
A,2025-08-12,Tuesday,11:00,318.05
A,2025-08-12,Tuesday,11:30,321.31
A,2025-08-12,Tuesday,12:00,322.5
A,2025-08-12,Tuesday,12:30,313.9
A,2025-08-12,Tuesday,13:00,318.99
A,2025-08-12,Tuesday,13:30,326.66
A,2025-08-12,Tuesday,14:00,319.83
A,2025-08-12,Tuesday,14:30,320.2
A,2025-08-12,Tuesday,15:00,321.17
A,2025-08-12,Tuesday,15:30,320.7
A,2025-08-12,Tuesday,16:00,328.25
A,2025-08-12,Tuesday,16:30,329.27
A,2025-08-12,Tuesday,17:00,320.92
A,2025-08-12,Tuesday,17:30,320.03
A,2025-08-12,Tuesday,18:00,329.64
A,2025-08-12,Tuesday,18:30,320.08
A,2025-08-12,Tuesday,19:00,335.91
A,2025-08-12,Tuesday,19:30,314.81
A,2025-08-12,Tuesday,20:00,339.2
A,2025-08-12,Tuesday,20:30,316.9
A,2025-08-12,Tuesday,21:00,322.49
A,2025-08-12,Tuesday,21:30,307.44
A,2025-08-12,Tuesday,22:00,291.4
A,2025-08-12,Tuesday,22:30,303.61
A,2025-08-12,Tuesday,23:00,303.61
A,2025-08-12,Tuesday,23:30,303.61
A,2025-08-13,Wednesday,00:00,333.68
A,2025-08-13,Wednesday,00:30,333.68
A,2025-08-13,Wednesday,01:00,333.68
A,2025-08-13,Wednesday,01:30,333.68
A,2025-08-13,Wednesday,02:00,333.68
A,2025-08-13,Wednesday,02:30,333.68
A,2025-08-13,Wednesday,03:00,333.68
A,2025-08-13,Wednesday,03:30,333.68
A,2025-08-13,Wednesday,04:00,333.68
A,2025-08-13,Wednesday,04:30,333.68
A,2025-08-13,Wednesday,05:00,333.68
A,2025-08-13,Wednesday,05:30,333.68
A,2025-08-13,Wednesday,06:00,333.68
A,2025-08-13,Wednesday,06:30,333.68
A,2025-08-13,Wednesday,07:00,333.68
A,2025-08-13,Wednesday,07:30,313.94
A,2025-08-13,Wednesday,08:00,275.46
A,2025-08-13,Wednesday,08:30,324.32
A,2025-08-13,Wednesday,09:00,309.61
A,2025-08-13,Wednesday,09:30,325.29
A,2025-08-13,Wednesday,10:00,311.08
A,2025-08-13,Wednesday,10:30,316.63
A,2025-08-13,Wednesday,11:00,322.02
A,2025-08-13,Wednesday,11:30,321.4
A,2025-08-13,Wednesday,12:00,330.81
A,2025-08-13,Wednesday,12:30,321.91
A,2025-08-13,Wednesday,13:00,321.27
A,2025-08-13,Wednesday,13:30,324.32
A,2025-08-13,Wednesday,14:00,322.54
A,2025-08-13,Wednesday,14:30,327.31
A,2025-08-13,Wednesday,15:00,322.21
A,2025-08-13,Wednesday,15:30,327.21
A,2025-08-13,Wednesday,16:00,332.25
A,2025-08-13,Wednesday,16:30,327.04
A,2025-08-13,Wednesday,17:00,331.45
A,2025-08-13,Wednesday,17:30,328.27
A,2025-08-13,Wednesday,18:00,313.58
A,2025-08-13,Wednesday,18:30,341.71
A,2025-08-13,Wednesday,19:00,337.68
A,2025-08-13,Wednesday,19:30,322.59
A,2025-08-13,Wednesday,20:00,310.55
A,2025-08-13,Wednesday,20:30,307.26
A,2025-08-13,Wednesday,21:00,318.13
A,2025-08-13,Wednesday,21:30,321.16
A,2025-08-13,Wednesday,22:00,321.41
A,2025-08-13,Wednesday,22:30,333.68
A,2025-08-13,Wednesday,23:00,333.68
A,2025-08-13,Wednesday,23:30,333.68
A,2025-08-14,Thursday,00:00,326.3
A,2025-08-14,Thursday,00:30,326.3
A,2025-08-14,Thursday,01:00,326.3
A,2025-08-14,Thursday,01:30,326.3
A,2025-08-14,Thursday,02:00,326.3
A,2025-08-14,Thursday,02:30,326.3
A,2025-08-14,Thursday,03:00,326.3
A,2025-08-14,Thursday,03:30,326.3
A,2025-08-14,Thursday,04:00,326.3
A,2025-08-14,Thursday,04:30,326.3
