group,Date,day_of_week,interval,interval_abd
A,2025-08-02,Saturday,19:00,0.003835
A,2025-08-02,Saturday,19:30,0.019068
A,2025-08-02,Saturday,20:00,0.005589
A,2025-08-02,Saturday,20:30,0.060601
A,2025-08-02,Saturday,21:00,0.011397
A,2025-08-02,Saturday,21:30,0.091285
A,2025-08-02,Saturday,22:00,0.024876
A,2025-08-02,Saturday,22:30,0.034191
A,2025-08-02,Saturday,23:00,0.054793
A,2025-08-02,Saturday,23:30,0.0
A,2025-08-03,Sunday,00:00,0.092426
A,2025-08-03,Sunday,00:30,0.398961
A,2025-08-03,Sunday,01:00,0.369482
A,2025-08-03,Sunday,01:30,0.110823
A,2025-08-03,Sunday,02:00,0.0
A,2025-08-03,Sunday,02:30,0.0
A,2025-08-03,Sunday,03:00,0.0
A,2025-08-03,Sunday,03:30,0.0
A,2025-08-03,Sunday,04:00,0.0
A,2025-08-03,Sunday,04:30,0.0
A,2025-08-03,Sunday,05:00,0.0
A,2025-08-03,Sunday,05:30,0.0
A,2025-08-03,Sunday,06:00,0.0
A,2025-08-03,Sunday,06:30,0.0
A,2025-08-03,Sunday,07:00,0.0
A,2025-08-03,Sunday,07:30,0.110823
A,2025-08-03,Sunday,08:00,0.0
A,2025-08-03,Sunday,08:30,0.0
A,2025-08-03,Sunday,09:00,0.0
A,2025-08-03,Sunday,09:30,0.015737
A,2025-08-03,Sunday,10:00,0.0
A,2025-08-03,Sunday,10:30,0.0
A,2025-08-03,Sunday,11:00,0.018397
A,2025-08-03,Sunday,11:30,0.0
A,2025-08-03,Sunday,12:00,0.026819
A,2025-08-03,Sunday,12:30,0.037458
A,2025-08-03,Sunday,13:00,0.069818
A,2025-08-03,Sunday,13:30,0.024159
A,2025-08-03,Sunday,14:00,0.021943
A,2025-08-03,Sunday,14:30,0.039453
A,2025-08-03,Sunday,15:00,0.006428
A,2025-08-03,Sunday,15:30,0.03635
A,2025-08-03,Sunday,16:00,0.0
A,2025-08-03,Sunday,16:30,0.0
A,2025-08-03,Sunday,17:00,0.0
A,2025-08-03,Sunday,17:30,0.019283
A,2025-08-03,Sunday,18:00,0.007536
A,2025-08-03,Sunday,18:30,0.039674
A,2025-08-03,Sunday,19:00,0.0
A,2025-08-03,Sunday,19:30,0.037236
A,2025-08-03,Sunday,20:00,0.035906
A,2025-08-03,Sunday,20:30,0.092869
A,2025-08-03,Sunday,21:00,0.128554
A,2025-08-03,Sunday,21:30,0.0
A,2025-08-03,Sunday,22:00,0.0
A,2025-08-03,Sunday,22:30,0.443512
A,2025-08-03,Sunday,23:00,0.147837
A,2025-08-03,Sunday,23:30,0.129219
A,2025-08-04,Monday,00:00,0.0
A,2025-08-04,Monday,00:30,0.0
A,2025-08-04,Monday,01:00,0.0
A,2025-08-04,Monday,01:30,0.0
A,2025-08-04,Monday,02:00,0.0
A,2025-08-04,Monday,02:30,0.0
A,2025-08-04,Monday,03:00,0.0
A,2025-08-04,Monday,03:30,0.0
A,2025-08-04,Monday,04:00,0.0
A,2025-08-04,Monday,04:30,0.0
A,2025-08-04,Monday,05:00,0.0
A,2025-08-04,Monday,05:30,0.055369
A,2025-08-04,Monday,06:00,0.0
A,2025-08-04,Monday,06:30,0.044295
A,2025-08-04,Monday,07:00,0.0
A,2025-08-04,Monday,07:30,0.005039
A,2025-08-04,Monday,08:00,0.006866
A,2025-08-04,Monday,08:30,0.011018
A,2025-08-04,Monday,09:00,0.001661
A,2025-08-04,Monday,09:30,0.004042
A,2025-08-04,Monday,10:00,0.00299
A,2025-08-04,Monday,10:30,0.003211
A,2025-08-04,Monday,11:00,0.000997
A,2025-08-04,Monday,11:30,0.0
A,2025-08-04,Monday,12:00,0.001384
A,2025-08-04,Monday,12:30,0.0
A,2025-08-04,Monday,13:00,0.001107
A,2025-08-04,Monday,13:30,0.001993
A,2025-08-04,Monday,14:00,0.004651
A,2025-08-04,Monday,14:30,0.007918
A,2025-08-04,Monday,15:00,0.007253
A,2025-08-04,Monday,15:30,0.006035
A,2025-08-04,Monday,16:00,0.000443
A,2025-08-04,Monday,16:30,0.000886
A,2025-08-04,Monday,17:00,0.002159
A,2025-08-04,Monday,17:30,0.00227
A,2025-08-04,Monday,18:00,0.00072
A,2025-08-04,Monday,18:30,0.005869
A,2025-08-04,Monday,19:00,0.0
A,2025-08-04,Monday,19:30,0.015503
A,2025-08-04,Monday,20:00,0.0067
A,2025-08-04,Monday,20:30,0.018493
A,2025-08-04,Monday,21:00,0.009523
A,2025-08-04,Monday,21:30,0.006534
A,2025-08-04,Monday,22:00,0.0
A,2025-08-04,Monday,22:30,0.072035
A,2025-08-04,Monday,23:00,0.018106
A,2025-08-04,Monday,23:30,0.0
A,2025-08-05,Tuesday,00:00,0.0
A,2025-08-05,Tuesday,00:30,0.0
A,2025-08-05,Tuesday,01:00,0.0
A,2025-08-05,Tuesday,01:30,0.216933
A,2025-08-05,Tuesday,02:00,0.0
A,2025-08-05,Tuesday,02:30,0.0
A,2025-08-05,Tuesday,03:00,0.0
A,2025-08-05,Tuesday,03:30,0.867733
A,2025-08-05,Tuesday,04:00,0.0
A,2025-08-05,Tuesday,04:30,0.0
A,2025-08-05,Tuesday,05:00,0.0
A,2025-08-05,Tuesday,05:30,0.0
A,2025-08-05,Tuesday,06:00,0.0
A,2025-08-05,Tuesday,06:30,0.061956
A,2025-08-05,Tuesday,07:00,0.043387
A,2025-08-05,Tuesday,07:30,0.027073
A,2025-08-05,Tuesday,08:00,0.019264
A,2025-08-05,Tuesday,08:30,0.03228
A,2025-08-05,Tuesday,09:00,0.017702
A,2025-08-05,Tuesday,09:30,0.011454
A,2025-08-05,Tuesday,10:00,0.009719
A,2025-08-05,Tuesday,10:30,0.006248
A,2025-08-05,Tuesday,11:00,0.012148
A,2025-08-05,Tuesday,11:30,0.002083
A,2025-08-05,Tuesday,12:00,0.001909
A,2025-08-05,Tuesday,12:30,0.014925
A,2025-08-05,Tuesday,13:00,0.001909
A,2025-08-05,Tuesday,13:30,0.001735
A,2025-08-05,Tuesday,14:00,0.0
A,2025-08-05,Tuesday,14:30,0.0
A,2025-08-05,Tuesday,15:00,0.0
A,2025-08-05,Tuesday,15:30,0.0
A,2025-08-05,Tuesday,16:00,0.009198
A,2025-08-05,Tuesday,16:30,0.0
A,2025-08-05,Tuesday,17:00,0.002256
A,2025-08-05,Tuesday,17:30,0.0
A,2025-08-05,Tuesday,18:00,0.0
A,2025-08-05,Tuesday,18:30,0.009719
A,2025-08-05,Tuesday,19:00,0.0
A,2025-08-05,Tuesday,19:30,0.005901
A,2025-08-05,Tuesday,20:00,0.042345
A,2025-08-05,Tuesday,20:30,0.050849
A,2025-08-05,Tuesday,21:00,0.093194
A,2025-08-05,Tuesday,21:30,0.030024
A,2025-08-05,Tuesday,22:00,0.0
A,2025-08-05,Tuesday,22:30,0.288955
A,2025-08-05,Tuesday,23:00,0.133804
A,2025-08-05,Tuesday,23:30,0.0
A,2025-08-06,Wednesday,00:00,0.0
A,2025-08-06,Wednesday,00:30,0.0
A,2025-08-06,Wednesday,01:00,0.0
A,2025-08-06,Wednesday,01:30,0.0
A,2025-08-06,Wednesday,02:00,0.0
A,2025-08-06,Wednesday,02:30,0.0
A,2025-08-06,Wednesday,03:00,0.0
A,2025-08-06,Wednesday,03:30,0.0
A,2025-08-06,Wednesday,04:00,0.0
A,2025-08-06,Wednesday,04:30,0.0
A,2025-08-06,Wednesday,05:00,0.0
A,2025-08-06,Wednesday,05:30,0.0
A,2025-08-06,Wednesday,06:00,0.0
A,2025-08-06,Wednesday,06:30,0.064918
A,2025-08-06,Wednesday,07:00,0.017618
A,2025-08-06,Wednesday,07:30,0.021293
A,2025-08-06,Wednesday,08:00,0.006352
A,2025-08-06,Wednesday,08:30,0.003995
A,2025-08-06,Wednesday,09:00,0.006752
A,2025-08-06,Wednesday,09:30,0.001278
A,2025-08-06,Wednesday,10:00,0.000559
A,2025-08-06,Wednesday,10:30,0.000519
A,2025-08-06,Wednesday,11:00,0.000479
A,2025-08-06,Wednesday,11:30,0.002157
A,2025-08-06,Wednesday,12:00,0.001278
A,2025-08-06,Wednesday,12:30,0.0
A,2025-08-06,Wednesday,13:00,0.005353
A,2025-08-06,Wednesday,13:30,0.0
A,2025-08-06,Wednesday,14:00,0.000799
A,2025-08-06,Wednesday,14:30,0.0
A,2025-08-06,Wednesday,15:00,0.003076
A,2025-08-06,Wednesday,15:30,0.001318
A,2025-08-06,Wednesday,16:00,0.000879
A,2025-08-06,Wednesday,16:30,0.0
A,2025-08-06,Wednesday,17:00,0.000559
A,2025-08-06,Wednesday,17:30,0.003795
A,2025-08-06,Wednesday,18:00,0.003036
A,2025-08-06,Wednesday,18:30,0.000799
A,2025-08-06,Wednesday,19:00,0.0
A,2025-08-06,Wednesday,19:30,0.003516
A,2025-08-06,Wednesday,20:00,0.002077
A,2025-08-06,Wednesday,20:30,0.006951
A,2025-08-06,Wednesday,21:00,0.006951
A,2025-08-06,Wednesday,21:30,0.0
A,2025-08-06,Wednesday,22:00,0.0
A,2025-08-06,Wednesday,22:30,0.028804
A,2025-08-06,Wednesday,23:00,0.021413
A,2025-08-06,Wednesday,23:30,0.0
A,2025-08-07,Thursday,00:00,0.0
A,2025-08-07,Thursday,00:30,0.0
A,2025-08-07,Thursday,01:00,0.0
A,2025-08-07,Thursday,01:30,0.0
A,2025-08-07,Thursday,02:00,0.0
A,2025-08-07,Thursday,02:30,0.0
A,2025-08-07,Thursday,03:00,0.0
A,2025-08-07,Thursday,03:30,0.0
A,2025-08-07,Thursday,04:00,0.0
A,2025-08-07,Thursday,04:30,0.0
A,2025-08-07,Thursday,05:00,0.0
A,2025-08-07,Thursday,05:30,0.0
A,2025-08-07,Thursday,06:00,0.0
A,2025-08-07,Thursday,06:30,0.320972
A,2025-08-07,Thursday,07:00,0.20157
A,2025-08-07,Thursday,07:30,0.129856
A,2025-08-07,Thursday,08:00,0.008987
A,2025-08-07,Thursday,08:30,0.012472
A,2025-08-07,Thursday,09:00,0.0
A,2025-08-07,Thursday,09:30,0.002751
A,2025-08-07,Thursday,10:00,0.003301
A,2025-08-07,Thursday,10:30,0.0
A,2025-08-07,Thursday,11:00,0.0
A,2025-08-07,Thursday,11:30,0.0
A,2025-08-07,Thursday,12:00,0.0
A,2025-08-07,Thursday,12:30,0.00862
A,2025-08-07,Thursday,13:00,0.00862
A,2025-08-07,Thursday,13:30,0.006053
A,2025-08-07,Thursday,14:00,0.006053
A,2025-08-07,Thursday,14:30,0.002018
A,2025-08-07,Thursday,15:00,0.002201
A,2025-08-07,Thursday,15:30,0.018158
A,2025-08-07,Thursday,16:00,0.005869
A,2025-08-07,Thursday,16:30,0.002018
A,2025-08-07,Thursday,17:00,0.0
A,2025-08-07,Thursday,17:30,0.002751
A,2025-08-07,Thursday,18:00,0.0
A,2025-08-07,Thursday,18:30,0.0
A,2025-08-07,Thursday,19:00,0.0
A,2025-08-07,Thursday,19:30,0.016691
A,2025-08-07,Thursday,20:00,0.010638
A,2025-08-07,Thursday,20:30,0.018708
A,2025-08-07,Thursday,21:00,0.061993
A,2025-08-07,Thursday,21:30,0.0
A,2025-08-07,Thursday,22:00,0.089138
A,2025-08-07,Thursday,22:30,0.226881
A,2025-08-07,Thursday,23:00,0.101794
A,2025-08-07,Thursday,23:30,0.076483
A,2025-08-08,Friday,00:00,0.0
A,2025-08-08,Friday,00:30,0.0
A,2025-08-08,Friday,01:00,0.0
A,2025-08-08,Friday,01:30,0.0
A,2025-08-08,Friday,02:00,0.0
A,2025-08-08,Friday,02:30,0.0
A,2025-08-08,Friday,03:00,0.0
A,2025-08-08,Friday,03:30,0.0
A,2025-08-08,Friday,04:00,0.0
A,2025-08-08,Friday,04:30,0.0
A,2025-08-08,Friday,05:00,0.0
A,2025-08-08,Friday,05:30,0.0
A,2025-08-08,Friday,06:00,0.125351
A,2025-08-08,Friday,06:30,0.610009
A,2025-08-08,Friday,07:00,0.320297
A,2025-08-08,Friday,07:30,0.295528
A,2025-08-08,Friday,08:00,0.01414
A,2025-08-08,Friday,08:30,0.003309
A,2025-08-08,Friday,09:00,0.002106
A,2025-08-08,Friday,09:30,0.009025
A,2025-08-08,Friday,10:00,0.001705
A,2025-08-08,Friday,10:30,0.006619
A,2025-08-08,Friday,11:00,0.002607
A,2025-08-08,Friday,11:30,0.002206
A,2025-08-08,Friday,12:00,0.008323
A,2025-08-08,Friday,12:30,0.008123
A,2025-08-08,Friday,13:00,0.009426
A,2025-08-08,Friday,13:30,0.00351
A,2025-08-08,Friday,14:00,0.0
A,2025-08-08,Friday,14:30,0.008223
A,2025-08-08,Friday,15:00,0.007621
A,2025-08-08,Friday,15:30,0.006819
A,2025-08-08,Friday,16:00,0.002306
A,2025-08-08,Friday,16:30,0.002306
A,2025-08-08,Friday,17:00,0.004713
A,2025-08-08,Friday,17:30,0.007722
A,2025-08-08,Friday,18:00,0.009226
A,2025-08-08,Friday,18:30,0.004613
A,2025-08-08,Friday,19:00,0.006619
A,2025-08-08,Friday,19:30,0.003109
A,2025-08-08,Friday,20:00,0.013839
A,2025-08-08,Friday,20:30,0.022463
A,2025-08-08,Friday,21:00,0.049739
A,2025-08-08,Friday,21:30,0.0
A,2025-08-08,Friday,22:00,0.010028
A,2025-08-08,Friday,22:30,0.163057
A,2025-08-08,Friday,23:00,0.061272
A,2025-08-08,Friday,23:30,0.117028
A,2025-08-09,Saturday,00:00,0.031523
A,2025-08-09,Saturday,00:30,0.0
A,2025-08-09,Saturday,01:00,0.112251
A,2025-08-09,Saturday,01:30,0.0
A,2025-08-09,Saturday,02:00,0.0
A,2025-08-09,Saturday,02:30,0.0
A,2025-08-09,Saturday,03:00,0.0
A,2025-08-09,Saturday,03:30,0.0
A,2025-08-09,Saturday,04:00,0.0
A,2025-08-09,Saturday,04:30,0.0
A,2025-08-09,Saturday,05:00,0.0
A,2025-08-09,Saturday,05:30,0.0
A,2025-08-09,Saturday,06:00,0.050518
A,2025-08-09,Saturday,06:30,0.168326
A,2025-08-09,Saturday,07:00,0.113666
A,2025-08-09,Saturday,07:30,0.07214
A,2025-08-09,Saturday,08:00,0.014347
A,2025-08-09,Saturday,08:30,0.0
A,2025-08-09,Saturday,09:00,0.007073
A,2025-08-09,Saturday,09:30,0.006972
A,2025-08-09,Saturday,10:00,0.005052
A,2025-08-09,Saturday,10:30,0.0
A,2025-08-09,Saturday,11:00,0.006567
A,2025-08-09,Saturday,11:30,0.024249
A,2025-08-09,Saturday,12:00,0.044557
A,2025-08-09,Saturday,12:30,0.064562
A,2025-08-09,Saturday,13:00,0.007679
A,2025-08-09,Saturday,13:30,0.003031
A,2025-08-09,Saturday,14:00,0.012427
A,2025-08-09,Saturday,14:30,0.022632
A,2025-08-09,Saturday,15:00,0.007578
A,2025-08-09,Saturday,15:30,0.008891
A,2025-08-09,Saturday,16:00,0.004345
A,2025-08-09,Saturday,16:30,0.0
A,2025-08-09,Saturday,17:00,0.021622
A,2025-08-09,Saturday,17:30,0.034655
A,2025-08-09,Saturday,18:00,0.002728
A,2025-08-09,Saturday,18:30,0.012326
A,2025-08-09,Saturday,19:00,0.003536
A,2025-08-09,Saturday,19:30,0.01758
A,2025-08-09,Saturday,20:00,0.005153
A,2025-08-09,Saturday,20:30,0.055873
A,2025-08-09,Saturday,21:00,0.010508
A,2025-08-09,Saturday,21:30,0.084163
A,2025-08-09,Saturday,22:00,0.022935
A,2025-08-09,Saturday,22:30,0.031523
A,2025-08-09,Saturday,23:00,0.050518
A,2025-08-09,Saturday,23:30,0.0
A,2025-08-10,Sunday,00:00,0.065709
A,2025-08-10,Sunday,00:30,0.283636
A,2025-08-10,Sunday,01:00,0.262679
A,2025-08-10,Sunday,01:30,0.078788
A,2025-08-10,Sunday,02:00,0.0
A,2025-08-10,Sunday,02:30,0.0
A,2025-08-10,Sunday,03:00,0.0
A,2025-08-10,Sunday,03:30,0.0
A,2025-08-10,Sunday,04:00,0.0
A,2025-08-10,Sunday,04:30,0.0
A,2025-08-10,Sunday,05:00,0.0
A,2025-08-10,Sunday,05:30,0.0
A,2025-08-10,Sunday,06:00,0.0
A,2025-08-10,Sunday,06:30,0.0
A,2025-08-10,Sunday,07:00,0.0
A,2025-08-10,Sunday,07:30,0.078788
A,2025-08-10,Sunday,08:00,0.0
A,2025-08-10,Sunday,08:30,0.0
A,2025-08-10,Sunday,09:00,0.0
A,2025-08-10,Sunday,09:30,0.011188
A,2025-08-10,Sunday,10:00,0.0
A,2025-08-10,Sunday,10:30,0.0
A,2025-08-10,Sunday,11:00,0.013079
A,2025-08-10,Sunday,11:30,0.0
A,2025-08-10,Sunday,12:00,0.019067
A,2025-08-10,Sunday,12:30,0.02663
A,2025-08-10,Sunday,13:00,0.049636
A,2025-08-10,Sunday,13:30,0.017176
A,2025-08-10,Sunday,14:00,0.0156
A,2025-08-10,Sunday,14:30,0.028048
A,2025-08-10,Sunday,15:00,0.00457
A,2025-08-10,Sunday,15:30,0.025842
A,2025-08-10,Sunday,16:00,0.0
A,2025-08-10,Sunday,16:30,0.0
A,2025-08-10,Sunday,17:00,0.0
A,2025-08-10,Sunday,17:30,0.013709
A,2025-08-10,Sunday,18:00,0.005358
A,2025-08-10,Sunday,18:30,0.028206
A,2025-08-10,Sunday,19:00,0.0
A,2025-08-10,Sunday,19:30,0.026473
A,2025-08-10,Sunday,20:00,0.025527
A,2025-08-10,Sunday,20:30,0.066024
A,2025-08-10,Sunday,21:00,0.091394
A,2025-08-10,Sunday,21:30,0.0
A,2025-08-10,Sunday,22:00,0.0
A,2025-08-10,Sunday,22:30,0.315309
A,2025-08-10,Sunday,23:00,0.105103
A,2025-08-10,Sunday,23:30,0.091867
A,2025-08-11,Monday,00:00,0.0
A,2025-08-11,Monday,00:30,0.0
A,2025-08-11,Monday,01:00,0.0
A,2025-08-11,Monday,01:30,0.0
A,2025-08-11,Monday,02:00,0.0
A,2025-08-11,Monday,02:30,0.0
A,2025-08-11,Monday,03:00,0.0
A,2025-08-11,Monday,03:30,0.0
A,2025-08-11,Monday,04:00,0.0
A,2025-08-11,Monday,04:30,0.0
A,2025-08-11,Monday,05:00,0.0
A,2025-08-11,Monday,05:30,0.082886
A,2025-08-11,Monday,06:00,0.0
A,2025-08-11,Monday,06:30,0.066309
A,2025-08-11,Monday,07:00,0.0
A,2025-08-11,Monday,07:30,0.007543
A,2025-08-11,Monday,08:00,0.010278
A,2025-08-11,Monday,08:30,0.016494
A,2025-08-11,Monday,09:00,0.002487
A,2025-08-11,Monday,09:30,0.006051
A,2025-08-11,Monday,10:00,0.004476
A,2025-08-11,Monday,10:30,0.004807
A,2025-08-11,Monday,11:00,0.001492
A,2025-08-11,Monday,11:30,0.0
A,2025-08-11,Monday,12:00,0.002072
A,2025-08-11,Monday,12:30,0.0
A,2025-08-11,Monday,13:00,0.001658
A,2025-08-11,Monday,13:30,0.002984
A,2025-08-11,Monday,14:00,0.006962
A,2025-08-11,Monday,14:30,0.011853
A,2025-08-11,Monday,15:00,0.010858
A,2025-08-11,Monday,15:30,0.009035
A,2025-08-11,Monday,16:00,0.000663
A,2025-08-11,Monday,16:30,0.001326
A,2025-08-11,Monday,17:00,0.003233
A,2025-08-11,Monday,17:30,0.003398
A,2025-08-11,Monday,18:00,0.001078
A,2025-08-11,Monday,18:30,0.008786
A,2025-08-11,Monday,19:00,0.0
A,2025-08-11,Monday,19:30,0.023208
A,2025-08-11,Monday,20:00,0.010029
A,2025-08-11,Monday,20:30,0.027684
A,2025-08-11,Monday,21:00,0.014256
A,2025-08-11,Monday,21:30,0.009781
A,2025-08-11,Monday,22:00,0.0
A,2025-08-11,Monday,22:30,0.107835
A,2025-08-11,Monday,23:00,0.027104
A,2025-08-11,Monday,23:30,0.0
A,2025-08-12,Tuesday,00:00,0.0
A,2025-08-12,Tuesday,00:30,0.0
A,2025-08-12,Tuesday,01:00,0.0
A,2025-08-12,Tuesday,01:30,0.357558
A,2025-08-12,Tuesday,02:00,0.0
A,2025-08-12,Tuesday,02:30,0.0
A,2025-08-12,Tuesday,03:00,0.0
A,2025-08-12,Tuesday,03:30,1.0
A,2025-08-12,Tuesday,04:00,0.0
A,2025-08-12,Tuesday,04:30,0.0
A,2025-08-12,Tuesday,05:00,0.0
A,2025-08-12,Tuesday,05:30,0.0
A,2025-08-12,Tuesday,06:00,0.0
A,2025-08-12,Tuesday,06:30,0.102119
A,2025-08-12,Tuesday,07:00,0.071512
A,2025-08-12,Tuesday,07:30,0.044623
A,2025-08-12,Tuesday,08:00,0.031751
A,2025-08-12,Tuesday,08:30,0.053205
A,2025-08-12,Tuesday,09:00,0.029177
A,2025-08-12,Tuesday,09:30,0.018879
A,2025-08-12,Tuesday,10:00,0.016019
A,2025-08-12,Tuesday,10:30,0.010298
A,2025-08-12,Tuesday,11:00,0.020023
A,2025-08-12,Tuesday,11:30,0.003433
A,2025-08-12,Tuesday,12:00,0.003147
A,2025-08-12,Tuesday,12:30,0.0246
A,2025-08-12,Tuesday,13:00,0.003147
A,2025-08-12,Tuesday,13:30,0.00286
A,2025-08-12,Tuesday,14:00,0.0
A,2025-08-12,Tuesday,14:30,0.0
A,2025-08-12,Tuesday,15:00,0.0
A,2025-08-12,Tuesday,15:30,0.0
A,2025-08-12,Tuesday,16:00,0.01516
A,2025-08-12,Tuesday,16:30,0.0
A,2025-08-12,Tuesday,17:00,0.003719
A,2025-08-12,Tuesday,17:30,0.0
A,2025-08-12,Tuesday,18:00,0.0
A,2025-08-12,Tuesday,18:30,0.016019
A,2025-08-12,Tuesday,19:00,0.0
A,2025-08-12,Tuesday,19:30,0.009726
A,2025-08-12,Tuesday,20:00,0.069795
A,2025-08-12,Tuesday,20:30,0.083812
A,2025-08-12,Tuesday,21:00,0.153607
A,2025-08-12,Tuesday,21:30,0.049486
A,2025-08-12,Tuesday,22:00,0.0
A,2025-08-12,Tuesday,22:30,0.476267
A,2025-08-12,Tuesday,23:00,0.220542
A,2025-08-12,Tuesday,23:30,0.0
A,2025-08-13,Wednesday,00:00,0.0
A,2025-08-13,Wednesday,00:30,0.0
A,2025-08-13,Wednesday,01:00,0.0
A,2025-08-13,Wednesday,01:30,0.0
A,2025-08-13,Wednesday,02:00,0.0
A,2025-08-13,Wednesday,02:30,0.0
A,2025-08-13,Wednesday,03:00,0.0
A,2025-08-13,Wednesday,03:30,0.0
A,2025-08-13,Wednesday,04:00,0.0
A,2025-08-13,Wednesday,04:30,0.0
A,2025-08-13,Wednesday,05:00,0.0
A,2025-08-13,Wednesday,05:30,0.0
A,2025-08-13,Wednesday,06:00,0.0
A,2025-08-13,Wednesday,06:30,0.089416
A,2025-08-13,Wednesday,07:00,0.024266
A,2025-08-13,Wednesday,07:30,0.029328
A,2025-08-13,Wednesday,08:00,0.008749
A,2025-08-13,Wednesday,08:30,0.005503
A,2025-08-13,Wednesday,09:00,0.009299
A,2025-08-13,Wednesday,09:30,0.001761
A,2025-08-13,Wednesday,10:00,0.00077
A,2025-08-13,Wednesday,10:30,0.000715
A,2025-08-13,Wednesday,11:00,0.00066
A,2025-08-13,Wednesday,11:30,0.002971
A,2025-08-13,Wednesday,12:00,0.001761
A,2025-08-13,Wednesday,12:30,0.0
A,2025-08-13,Wednesday,13:00,0.007373
A,2025-08-13,Wednesday,13:30,0.0
A,2025-08-13,Wednesday,14:00,0.001101
A,2025-08-13,Wednesday,14:30,0.0
A,2025-08-13,Wednesday,15:00,0.004237
A,2025-08-13,Wednesday,15:30,0.001816
A,2025-08-13,Wednesday,16:00,0.001211
A,2025-08-13,Wednesday,16:30,0.0
A,2025-08-13,Wednesday,17:00,0.00077
A,2025-08-13,Wednesday,17:30,0.005227
A,2025-08-13,Wednesday,18:00,0.004182
A,2025-08-13,Wednesday,18:30,0.001101
A,2025-08-13,Wednesday,19:00,0.0
A,2025-08-13,Wednesday,19:30,0.004842
A,2025-08-13,Wednesday,20:00,0.002861
