group,Date,day_of_week,interval,interval_cv
A,2025-08-03,Sunday,11:30,39
A,2025-08-03,Sunday,12:00,57
A,2025-08-03,Sunday,12:30,68
A,2025-08-03,Sunday,13:00,87
A,2025-08-03,Sunday,13:30,93
A,2025-08-03,Sunday,14:00,96
A,2025-08-03,Sunday,14:30,95
A,2025-08-03,Sunday,15:00,88
A,2025-08-03,Sunday,15:30,93
A,2025-08-03,Sunday,16:00,93
A,2025-08-03,Sunday,16:30,82
A,2025-08-03,Sunday,17:00,70
A,2025-08-03,Sunday,17:30,70
A,2025-08-03,Sunday,18:00,48
A,2025-08-03,Sunday,18:30,42
A,2025-08-03,Sunday,19:00,35
A,2025-08-03,Sunday,19:30,31
A,2025-08-03,Sunday,20:00,28
A,2025-08-03,Sunday,20:30,23
A,2025-08-03,Sunday,21:00,21
A,2025-08-03,Sunday,21:30,16
A,2025-08-03,Sunday,22:00,15
A,2025-08-03,Sunday,22:30,14
A,2025-08-03,Sunday,23:00,8
A,2025-08-03,Sunday,23:30,7
A,2025-08-04,Monday,00:00,4
A,2025-08-04,Monday,00:30,3
A,2025-08-04,Monday,01:00,2
A,2025-08-04,Monday,01:30,1
A,2025-08-04,Monday,02:00,2
A,2025-08-04,Monday,02:30,1
A,2025-08-04,Monday,03:00,0
A,2025-08-04,Monday,03:30,1
A,2025-08-04,Monday,04:00,0
A,2025-08-04,Monday,04:30,1
A,2025-08-04,Monday,05:00,1
A,2025-08-04,Monday,05:30,1
A,2025-08-04,Monday,06:00,2
A,2025-08-04,Monday,06:30,3
A,2025-08-04,Monday,07:00,7
A,2025-08-04,Monday,07:30,13
A,2025-08-04,Monday,08:00,46
A,2025-08-04,Monday,08:30,84
A,2025-08-04,Monday,09:00,131
A,2025-08-04,Monday,09:30,178
A,2025-08-04,Monday,10:00,212
A,2025-08-04,Monday,10:30,235
A,2025-08-04,Monday,11:00,244
A,2025-08-04,Monday,11:30,252
A,2025-08-04,Monday,12:00,249
A,2025-08-04,Monday,12:30,257
A,2025-08-04,Monday,13:00,259
A,2025-08-04,Monday,13:30,255
A,2025-08-04,Monday,14:00,259
A,2025-08-04,Monday,14:30,274
A,2025-08-04,Monday,15:00,263
A,2025-08-04,Monday,15:30,279
A,2025-08-04,Monday,16:00,264
A,2025-08-04,Monday,16:30,256
A,2025-08-04,Monday,17:00,227
A,2025-08-04,Monday,17:30,214
A,2025-08-04,Monday,18:00,174
A,2025-08-04,Monday,18:30,157
A,2025-08-04,Monday,19:00,103
A,2025-08-04,Monday,19:30,82
A,2025-08-04,Monday,20:00,60
A,2025-08-04,Monday,20:30,46
A,2025-08-04,Monday,21:00,39
A,2025-08-04,Monday,21:30,29
A,2025-08-04,Monday,22:00,22
A,2025-08-04,Monday,22:30,15
A,2025-08-04,Monday,23:00,15
A,2025-08-04,Monday,23:30,9
A,2025-08-05,Tuesday,00:00,5
A,2025-08-05,Tuesday,00:30,5
A,2025-08-05,Tuesday,01:00,3
A,2025-08-05,Tuesday,01:30,2
A,2025-08-05,Tuesday,02:00,2
A,2025-08-05,Tuesday,02:30,1
A,2025-08-05,Tuesday,03:00,1
A,2025-08-05,Tuesday,03:30,1
A,2025-08-05,Tuesday,04:00,1
A,2025-08-05,Tuesday,04:30,1
A,2025-08-05,Tuesday,05:00,1
A,2025-08-05,Tuesday,05:30,3
A,2025-08-05,Tuesday,06:00,2
A,2025-08-05,Tuesday,06:30,5
A,2025-08-05,Tuesday,07:00,9
A,2025-08-05,Tuesday,07:30,15
A,2025-08-05,Tuesday,08:00,49
A,2025-08-05,Tuesday,08:30,85
A,2025-08-05,Tuesday,09:00,127
A,2025-08-05,Tuesday,09:30,169
A,2025-08-05,Tuesday,10:00,197
A,2025-08-05,Tuesday,10:30,217
A,2025-08-05,Tuesday,11:00,231
A,2025-08-05,Tuesday,11:30,246
A,2025-08-05,Tuesday,12:00,251
A,2025-08-05,Tuesday,12:30,246
A,2025-08-05,Tuesday,13:00,249
A,2025-08-05,Tuesday,13:30,242
A,2025-08-05,Tuesday,14:00,262
A,2025-08-05,Tuesday,14:30,259
A,2025-08-05,Tuesday,15:00,255
A,2025-08-05,Tuesday,15:30,253
A,2025-08-05,Tuesday,16:00,268
A,2025-08-05,Tuesday,16:30,249
A,2025-08-05,Tuesday,17:00,221
A,2025-08-05,Tuesday,17:30,186
A,2025-08-05,Tuesday,18:00,172
A,2025-08-05,Tuesday,18:30,150
A,2025-08-05,Tuesday,19:00,97
A,2025-08-05,Tuesday,19:30,71
A,2025-08-05,Tuesday,20:00,55
A,2025-08-05,Tuesday,20:30,53
A,2025-08-05,Tuesday,21:00,36
A,2025-08-05,Tuesday,21:30,28
A,2025-08-05,Tuesday,22:00,22
A,2025-08-05,Tuesday,22:30,14
A,2025-08-05,Tuesday,23:00,12
A,2025-08-05,Tuesday,23:30,8
A,2025-08-06,Wednesday,00:00,5
A,2025-08-06,Wednesday,00:30,3
A,2025-08-06,Wednesday,01:00,2
A,2025-08-06,Wednesday,01:30,2
A,2025-08-06,Wednesday,02:00,2
A,2025-08-06,Wednesday,02:30,2
A,2025-08-06,Wednesday,03:00,1
A,2025-08-06,Wednesday,03:30,1
A,2025-08-06,Wednesday,04:00,1
A,2025-08-06,Wednesday,04:30,1
A,2025-08-06,Wednesday,05:00,1
A,2025-08-06,Wednesday,05:30,2
A,2025-08-06,Wednesday,06:00,2
A,2025-08-06,Wednesday,06:30,3
A,2025-08-06,Wednesday,07:00,8
A,2025-08-06,Wednesday,07:30,17
A,2025-08-06,Wednesday,08:00,45
A,2025-08-06,Wednesday,08:30,79
A,2025-08-06,Wednesday,09:00,117
A,2025-08-06,Wednesday,09:30,142
A,2025-08-06,Wednesday,10:00,167
A,2025-08-06,Wednesday,10:30,189
A,2025-08-06,Wednesday,11:00,203
A,2025-08-06,Wednesday,11:30,207
A,2025-08-06,Wednesday,12:00,206
A,2025-08-06,Wednesday,12:30,207
A,2025-08-06,Wednesday,13:00,208
A,2025-08-06,Wednesday,13:30,208
A,2025-08-06,Wednesday,14:00,208
A,2025-08-06,Wednesday,14:30,207
A,2025-08-06,Wednesday,15:00,213
A,2025-08-06,Wednesday,15:30,209
A,2025-08-06,Wednesday,16:00,203
A,2025-08-06,Wednesday,16:30,195
A,2025-08-06,Wednesday,17:00,174
A,2025-08-06,Wednesday,17:30,156
A,2025-08-06,Wednesday,18:00,140
A,2025-08-06,Wednesday,18:30,119
A,2025-08-06,Wednesday,19:00,76
A,2025-08-06,Wednesday,19:30,59
A,2025-08-06,Wednesday,20:00,47
A,2025-08-06,Wednesday,20:30,39
A,2025-08-06,Wednesday,21:00,31
A,2025-08-06,Wednesday,21:30,25
A,2025-08-06,Wednesday,22:00,18
A,2025-08-06,Wednesday,22:30,12
A,2025-08-06,Wednesday,23:00,10
A,2025-08-06,Wednesday,23:30,8
A,2025-08-07,Thursday,00:00,5
A,2025-08-07,Thursday,00:30,4
A,2025-08-07,Thursday,01:00,4
A,2025-08-07,Thursday,01:30,2
A,2025-08-07,Thursday,02:00,2
A,2025-08-07,Thursday,02:30,1
A,2025-08-07,Thursday,03:00,1
A,2025-08-07,Thursday,03:30,1
A,2025-08-07,Thursday,04:00,1
A,2025-08-07,Thursday,04:30,0
A,2025-08-07,Thursday,05:00,1
A,2025-08-07,Thursday,05:30,2
A,2025-08-07,Thursday,06:00,3
A,2025-08-07,Thursday,06:30,5
A,2025-08-07,Thursday,07:00,10
A,2025-08-07,Thursday,07:30,19
A,2025-08-07,Thursday,08:00,47
A,2025-08-07,Thursday,08:30,83
A,2025-08-07,Thursday,09:00,118
A,2025-08-07,Thursday,09:30,146
A,2025-08-07,Thursday,10:00,172
A,2025-08-07,Thursday,10:30,196
A,2025-08-07,Thursday,11:00,210
A,2025-08-07,Thursday,11:30,219
A,2025-08-07,Thursday,12:00,218
A,2025-08-07,Thursday,12:30,223
A,2025-08-07,Thursday,13:00,215
A,2025-08-07,Thursday,13:30,216
A,2025-08-07,Thursday,14:00,229
A,2025-08-07,Thursday,14:30,227
A,2025-08-07,Thursday,15:00,228
A,2025-08-07,Thursday,15:30,221
A,2025-08-07,Thursday,16:00,221
A,2025-08-07,Thursday,16:30,219
A,2025-08-07,Thursday,17:00,192
A,2025-08-07,Thursday,17:30,164
A,2025-08-07,Thursday,18:00,146
A,2025-08-07,Thursday,18:30,127
A,2025-08-07,Thursday,19:00,82
A,2025-08-07,Thursday,19:30,64
A,2025-08-07,Thursday,20:00,51
A,2025-08-07,Thursday,20:30,43
A,2025-08-07,Thursday,21:00,33
A,2025-08-07,Thursday,21:30,26
A,2025-08-07,Thursday,22:00,21
A,2025-08-07,Thursday,22:30,14
A,2025-08-07,Thursday,23:00,11
A,2025-08-07,Thursday,23:30,10
A,2025-08-08,Friday,00:00,6
A,2025-08-08,Friday,00:30,5
A,2025-08-08,Friday,01:00,3
A,2025-08-08,Friday,01:30,3
A,2025-08-08,Friday,02:00,1
A,2025-08-08,Friday,02:30,1
A,2025-08-08,Friday,03:00,1
A,2025-08-08,Friday,03:30,2
A,2025-08-08,Friday,04:00,1
A,2025-08-08,Friday,04:30,1
A,2025-08-08,Friday,05:00,1
A,2025-08-08,Friday,05:30,2
A,2025-08-08,Friday,06:00,3
A,2025-08-08,Friday,06:30,4
A,2025-08-08,Friday,07:00,10
A,2025-08-08,Friday,07:30,16
A,2025-08-08,Friday,08:00,47
A,2025-08-08,Friday,08:30,83
A,2025-08-08,Friday,09:00,120
A,2025-08-08,Friday,09:30,153
A,2025-08-08,Friday,10:00,167
A,2025-08-08,Friday,10:30,213
A,2025-08-08,Friday,11:00,222
A,2025-08-08,Friday,11:30,227
A,2025-08-08,Friday,12:00,237
A,2025-08-08,Friday,12:30,233
A,2025-08-08,Friday,13:00,230
A,2025-08-08,Friday,13:30,239
A,2025-08-08,Friday,14:00,236
A,2025-08-08,Friday,14:30,250
A,2025-08-08,Friday,15:00,241
A,2025-08-08,Friday,15:30,249
A,2025-08-08,Friday,16:00,240
A,2025-08-08,Friday,16:30,224
A,2025-08-08,Friday,17:00,194
A,2025-08-08,Friday,17:30,171
A,2025-08-08,Friday,18:00,152
A,2025-08-08,Friday,18:30,125
A,2025-08-08,Friday,19:00,85
A,2025-08-08,Friday,19:30,64
A,2025-08-08,Friday,20:00,50
A,2025-08-08,Friday,20:30,41
A,2025-08-08,Friday,21:00,29
A,2025-08-08,Friday,21:30,21
A,2025-08-08,Friday,22:00,20
A,2025-08-08,Friday,22:30,14
A,2025-08-08,Friday,23:00,11
A,2025-08-08,Friday,23:30,8
A,2025-08-09,Saturday,00:00,6
A,2025-08-09,Saturday,00:30,4
A,2025-08-09,Saturday,01:00,3
A,2025-08-09,Saturday,01:30,1
A,2025-08-09,Saturday,02:00,1
A,2025-08-09,Saturday,02:30,2
A,2025-08-09,Saturday,03:00,1
A,2025-08-09,Saturday,03:30,1
A,2025-08-09,Saturday,04:00,1
A,2025-08-09,Saturday,04:30,1
A,2025-08-09,Saturday,05:00,1
A,2025-08-09,Saturday,05:30,1
A,2025-08-09,Saturday,06:00,1
A,2025-08-09,Saturday,06:30,2
A,2025-08-09,Saturday,07:00,5
A,2025-08-09,Saturday,07:30,10
A,2025-08-09,Saturday,08:00,28
A,2025-08-09,Saturday,08:30,47
A,2025-08-09,Saturday,09:00,65
A,2025-08-09,Saturday,09:30,77
A,2025-08-09,Saturday,10:00,97
A,2025-08-09,Saturday,10:30,121
A,2025-08-09,Saturday,11:00,140
A,2025-08-09,Saturday,11:30,139
A,2025-08-09,Saturday,12:00,152
A,2025-08-09,Saturday,12:30,164
A,2025-08-09,Saturday,13:00,158
A,2025-08-09,Saturday,13:30,157
A,2025-08-09,Saturday,14:00,149
A,2025-08-09,Saturday,14:30,151
A,2025-08-09,Saturday,15:00,148
A,2025-08-09,Saturday,15:30,151
A,2025-08-09,Saturday,16:00,143
A,2025-08-09,Saturday,16:30,129
A,2025-08-09,Saturday,17:00,119
A,2025-08-09,Saturday,17:30,101
A,2025-08-09,Saturday,18:00,96
A,2025-08-09,Saturday,18:30,82
A,2025-08-09,Saturday,19:00,62
A,2025-08-09,Saturday,19:30,48
A,2025-08-09,Saturday,20:00,38
A,2025-08-09,Saturday,20:30,31
A,2025-08-09,Saturday,21:00,22
A,2025-08-09,Saturday,21:30,17
A,2025-08-09,Saturday,22:00,12
A,2025-08-09,Saturday,22:30,8
A,2025-08-09,Saturday,23:00,8
A,2025-08-09,Saturday,23:30,5
A,2025-08-10,Sunday,00:00,3
A,2025-08-10,Sunday,00:30,3
A,2025-08-10,Sunday,01:00,2
A,2025-08-10,Sunday,01:30,2
A,2025-08-10,Sunday,02:00,1
A,2025-08-10,Sunday,02:30,1
A,2025-08-10,Sunday,03:00,1
A,2025-08-10,Sunday,03:30,1
A,2025-08-10,Sunday,04:00,1
A,2025-08-10,Sunday,04:30,0
A,2025-08-10,Sunday,05:00,0
A,2025-08-10,Sunday,05:30,2
A,2025-08-10,Sunday,06:00,2
A,2025-08-10,Sunday,06:30,1
A,2025-08-10,Sunday,07:00,4
A,2025-08-10,Sunday,07:30,5
A,2025-08-10,Sunday,08:00,10
A,2025-08-10,Sunday,08:30,12
A,2025-08-10,Sunday,09:00,17
A,2025-08-10,Sunday,09:30,22
A,2025-08-10,Sunday,10:00,22
A,2025-08-10,Sunday,10:30,33
A,2025-08-10,Sunday,11:00,29
A,2025-08-10,Sunday,11:30,33
A,2025-08-10,Sunday,12:00,49
A,2025-08-10,Sunday,12:30,59
A,2025-08-10,Sunday,13:00,76
A,2025-08-10,Sunday,13:30,80
A,2025-08-10,Sunday,14:00,83
A,2025-08-10,Sunday,14:30,83
A,2025-08-10,Sunday,15:00,77
A,2025-08-10,Sunday,15:30,80
A,2025-08-10,Sunday,16:00,81
A,2025-08-10,Sunday,16:30,71
A,2025-08-10,Sunday,17:00,61
A,2025-08-10,Sunday,17:30,61
A,2025-08-10,Sunday,18:00,42
A,2025-08-10,Sunday,18:30,36
A,2025-08-10,Sunday,19:00,30
A,2025-08-10,Sunday,19:30,27
A,2025-08-10,Sunday,20:00,24
A,2025-08-10,Sunday,20:30,20
A,2025-08-10,Sunday,21:00,18
A,2025-08-10,Sunday,21:30,14
A,2025-08-10,Sunday,22:00,13
A,2025-08-10,Sunday,22:30,12
A,2025-08-10,Sunday,23:00,7
A,2025-08-10,Sunday,23:30,6
A,2025-08-11,Monday,00:00,4
A,2025-08-11,Monday,00:30,3
A,2025-08-11,Monday,01:00,2
A,2025-08-11,Monday,01:30,1
A,2025-08-11,Monday,02:00,2
A,2025-08-11,Monday,02:30,1
A,2025-08-11,Monday,03:00,0
A,2025-08-11,Monday,03:30,1
A,2025-08-11,Monday,04:00,0
A,2025-08-11,Monday,04:30,1
A,2025-08-11,Monday,05:00,1
A,2025-08-11,Monday,05:30,1
A,2025-08-11,Monday,06:00,2
A,2025-08-11,Monday,06:30,3
A,2025-08-11,Monday,07:00,7
A,2025-08-11,Monday,07:30,13
A,2025-08-11,Monday,08:00,44
A,2025-08-11,Monday,08:30,80
A,2025-08-11,Monday,09:00,125
A,2025-08-11,Monday,09:30,170
A,2025-08-11,Monday,10:00,203
A,2025-08-11,Monday,10:30,225
A,2025-08-11,Monday,11:00,234
A,2025-08-11,Monday,11:30,242
A,2025-08-11,Monday,12:00,239
A,2025-08-11,Monday,12:30,247
A,2025-08-11,Monday,13:00,249
A,2025-08-11,Monday,13:30,244
A,2025-08-11,Monday,14:00,248
A,2025-08-11,Monday,14:30,263
A,2025-08-11,Monday,15:00,252
A,2025-08-11,Monday,15:30,267
A,2025-08-11,Monday,16:00,253
A,2025-08-11,Monday,16:30,245
A,2025-08-11,Monday,17:00,218
A,2025-08-11,Monday,17:30,205
A,2025-08-11,Monday,18:00,167
A,2025-08-11,Monday,18:30,151
A,2025-08-11,Monday,19:00,99
A,2025-08-11,Monday,19:30,79
A,2025-08-11,Monday,20:00,57
A,2025-08-11,Monday,20:30,44
A,2025-08-11,Monday,21:00,37
A,2025-08-11,Monday,21:30,27
A,2025-08-11,Monday,22:00,21
A,2025-08-11,Monday,22:30,15
A,2025-08-11,Monday,23:00,14
A,2025-08-11,Monday,23:30,9
A,2025-08-12,Tuesday,00:00,4
A,2025-08-12,Tuesday,00:30,4
A,2025-08-12,Tuesday,01:00,2
A,2025-08-12,Tuesday,01:30,2
A,2025-08-12,Tuesday,02:00,1
A,2025-08-12,Tuesday,02:30,1
A,2025-08-12,Tuesday,03:00,1
A,2025-08-12,Tuesday,03:30,1
A,2025-08-12,Tuesday,04:00,1
A,2025-08-12,Tuesday,04:30,1
A,2025-08-12,Tuesday,05:00,1
A,2025-08-12,Tuesday,05:30,2
A,2025-08-12,Tuesday,06:00,2
A,2025-08-12,Tuesday,06:30,4
A,2025-08-12,Tuesday,07:00,7
A,2025-08-12,Tuesday,07:30,13
A,2025-08-12,Tuesday,08:00,40
A,2025-08-12,Tuesday,08:30,70
A,2025-08-12,Tuesday,09:00,104
A,2025-08-12,Tuesday,09:30,139
A,2025-08-12,Tuesday,10:00,162
A,2025-08-12,Tuesday,10:30,178
A,2025-08-12,Tuesday,11:00,190
A,2025-08-12,Tuesday,11:30,202
A,2025-08-12,Tuesday,12:00,206
A,2025-08-12,Tuesday,12:30,202
A,2025-08-12,Tuesday,13:00,204
A,2025-08-12,Tuesday,13:30,198
A,2025-08-12,Tuesday,14:00,215
A,2025-08-12,Tuesday,14:30,212
A,2025-08-12,Tuesday,15:00,209
A,2025-08-12,Tuesday,15:30,208
A,2025-08-12,Tuesday,16:00,220
A,2025-08-12,Tuesday,16:30,204
A,2025-08-12,Tuesday,17:00,182
A,2025-08-12,Tuesday,17:30,153
A,2025-08-12,Tuesday,18:00,141
A,2025-08-12,Tuesday,18:30,123
A,2025-08-12,Tuesday,19:00,79
A,2025-08-12,Tuesday,19:30,59
A,2025-08-12,Tuesday,20:00,45
A,2025-08-12,Tuesday,20:30,43
A,2025-08-12,Tuesday,21:00,30
A,2025-08-12,Tuesday,21:30,23
A,2025-08-12,Tuesday,22:00,18
A,2025-08-12,Tuesday,22:30,11
A,2025-08-12,Tuesday,23:00,10
A,2025-08-12,Tuesday,23:30,7
A,2025-08-13,Wednesday,00:00,5
A,2025-08-13,Wednesday,00:30,3
A,2025-08-13,Wednesday,01:00,2
A,2025-08-13,Wednesday,01:30,2
A,2025-08-13,Wednesday,02:00,2
A,2025-08-13,Wednesday,02:30,2
A,2025-08-13,Wednesday,03:00,1
A,2025-08-13,Wednesday,03:30,1
A,2025-08-13,Wednesday,04:00,1
A,2025-08-13,Wednesday,04:30,1
A,2025-08-13,Wednesday,05:00,1
A,2025-08-13,Wednesday,05:30,2
A,2025-08-13,Wednesday,06:00,2
A,2025-08-13,Wednesday,06:30,3
A,2025-08-13,Wednesday,07:00,8
A,2025-08-13,Wednesday,07:30,17
A,2025-08-13,Wednesday,08:00,45
A,2025-08-13,Wednesday,08:30,77
A,2025-08-13,Wednesday,09:00,115
A,2025-08-13,Wednesday,09:30,140
A,2025-08-13,Wednesday,10:00,165
A,2025-08-13,Wednesday,10:30,186
A,2025-08-13,Wednesday,11:00,200
A,2025-08-13,Wednesday,11:30,204
A,2025-08-13,Wednesday,12:00,203
A,2025-08-13,Wednesday,12:30,204
A,2025-08-13,Wednesday,13:00,205
A,2025-08-13,Wednesday,13:30,205
A,2025-08-13,Wednesday,14:00,205
A,2025-08-13,Wednesday,14:30,204
A,2025-08-13,Wednesday,15:00,210
A,2025-08-13,Wednesday,15:30,206
A,2025-08-13,Wednesday,16:00,200
A,2025-08-13,Wednesday,16:30,192
A,2025-08-13,Wednesday,17:00,171
A,2025-08-13,Wednesday,17:30,154
A,2025-08-13,Wednesday,18:00,138
A,2025-08-13,Wednesday,18:30,117
A,2025-08-13,Wednesday,19:00,75
A,2025-08-13,Wednesday,19:30,58
A,2025-08-13,Wednesday,20:00,46
A,2025-08-13,Wednesday,20:30,39
A,2025-08-13,Wednesday,21:00,31
A,2025-08-13,Wednesday,21:30,25
A,2025-08-13,Wednesday,22:00,17
A,2025-08-13,Wednesday,22:30,12
A,2025-08-13,Wednesday,23:00,10
A,2025-08-13,Wednesday,23:30,8
A,2025-08-14,Thursday,00:00,5
A,2025-08-14,Thursday,00:30,4
A,2025-08-14,Thursday,01:00,3
A,2025-08-14,Thursday,01:30,2
A,2025-08-14,Thursday,02:00,2
A,2025-08-14,Thursday,02:30,1
A,2025-08-14,Thursday,03:00,1
A,2025-08-14,Thursday,03:30,1
A,2025-08-14,Thursday,04:00,1
A,2025-08-14,Thursday,04:30,0
A,2025-08-14,Thursday,05:00,1
A,2025-08-14,Thursday,05:30,2
A,2025-08-14,Thursday,06:00,3
A,2025-08-14,Thursday,06:30,4
A,2025-08-14,Thursday,07:00,9
A,2025-08-14,Thursday,07:30,18
A,2025-08-14,Thursday,08:00,45
A,2025-08-14,Thursday,08:30,79
A,2025-08-14,Thursday,09:00,113
A,2025-08-14,Thursday,09:30,139
A,2025-08-14,Thursday,10:00,165
A,2025-08-14,Thursday,10:30,188
A,2025-08-14,Thursday,11:00,201
A,2025-08-14,Thursday,11:30,210
A,2025-08-14,Thursday,12:00,209
A,2025-08-14,Thursday,12:30,214
A,2025-08-14,Thursday,13:00,206
A,2025-08-14,Thursday,13:30,207
A,2025-08-14,Thursday,14:00,219
A,2025-08-14,Thursday,14:30,217
A,2025-08-14,Thursday,15:00,219
A,2025-08-14,Thursday,15:30,212
A,2025-08-14,Thursday,16:00,211
A,2025-08-14,Thursday,16:30,209
A,2025-08-14,Thursday,17:00,183
A,2025-08-14,Thursday,17:30,157
A,2025-08-14,Thursday,18:00,139
A,2025-08-14,Thursday,18:30,121
A,2025-08-14,Thursday,19:00,79
A,2025-08-14,Thursday,19:30,61
A,2025-08-14,Thursday,20:00,49
A,2025-08-14,Thursday,20:30,41
A,2025-08-14,Thursday,21:00,31
A,2025-08-14,Thursday,21:30,25
A,2025-08-14,Thursday,22:00,20
A,2025-08-14,Thursday,22:30,14
A,2025-08-14,Thursday,23:00,11
A,2025-08-14,Thursday,23:30,9
A,2025-08-15,Friday,00:00,5
A,2025-08-15,Friday,00:30,4
A,2025-08-15,Friday,01:00,3
A,2025-08-15,Friday,01:30,2
A,2025-08-15,Friday,02:00,1
A,2025-08-15,Friday,02:30,1
A,2025-08-15,Friday,03:00,1
A,2025-08-15,Friday,03:30,1
A,2025-08-15,Friday,04:00,1
A,2025-08-15,Friday,04:30,1
A,2025-08-15,Friday,05:00,1
A,2025-08-15,Friday,05:30,2
A,2025-08-15,Friday,06:00,3
A,2025-08-15,Friday,06:30,4
A,2025-08-15,Friday,07:00,8
A,2025-08-15,Friday,07:30,13
A,2025-08-15,Friday,08:00,40
A,2025-08-15,Friday,08:30,70
A,2025-08-15,Friday,09:00,102
A,2025-08-15,Friday,09:30,130
A,2025-08-15,Friday,10:00,142
A,2025-08-15,Friday,10:30,180
A,2025-08-15,Friday,11:00,188
A,2025-08-15,Friday,11:30,193
A,2025-08-15,Friday,12:00,201
A,2025-08-15,Friday,12:30,198
A,2025-08-15,Friday,13:00,195
